Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-005		17	οὐ	head	25	0
0085-005		23	Ἴτυν	relation	APOS	MWE
0085-005		2	γε	head	1	3
0085-005		4	δὴ	head	12	3
0085-005		7	οὕτως	relation	ADV	AuxY	y
0085-005		15	δ’	postag	d--------	b--------
0085-005		15	δ’	relation	COORD	AuxY
0085-005		1	δίχα	postag	r--------	d--------
0085-005		1	δίχα	relation	AuxP	ADV
0085-005		32	μελαίνας	postag	a-p---fa-	a-s---fa-	y
0085-005		13	οἷά	postag	c--------	c---------
0085-005		13	οἷά	lemma	οἷος	οἷον
0085-005		11	κέαρ	lemma	κέαρ	κῆρ	y
0085-005		3	εὖ	relation	ADV	OBJ
0085-005		24	?	relation	AuxK	AuxG
0085-005		3	οὖν	head	1	2
0085-005		3	ἄκοντας	lemma	ἀέκων	ἄκων
0085-005		1	καὶ	postag	d--------	c--------
0085-005		1	οἶον	relation	ADV	AuxY
0085-005		1	οἶον	postag	p-s---na-	a-s---na-
0085-005		1	οἶον	lemma	οἷος	οἶος
0085-005	1-7	36	αἰθέρι	postag	n-s---fd-	n-s---md-	y
0085-005	1-7	25	καὶ	postag	b--------	c--------
0085-005	1-7	38	,	relation	AuxX	APOS
0085-005	1-7	38	,	head	0	21
0085-005	1-7	40	φθίνωσιν	relation	APOS_CO	OBJ_AP_CO
0085-005	1-7	42	ἀντολάς	relation	APOS_CO	OBJ_AP_CO
0085-005	1-7	43	τε	postag	b--------	g--------
0085-005	1-7	43	τε	head	25	38
0085-005	1-7	44	τῶν]	postag	l-p---mg-	p-p---mg-	y
0085-005	1-7	37	[ἀστέρας	relation	APOS	OBJ_AP_CO
0085-005	1-7	23	ὁμήγυριν	relation	OBJ_CO	OBJ_AP_CO
0085-005	1-7	19	,	head	15	16
0085-005	1-7	18	δίκην	head	15	16
0085-005	1-7	18	δίκην	relation	APOS	ADV_AP
0085-005	1-7	16	,	head	0	12
0085-005	1-7	16	,	relation	AuxX	APOS
0085-005	1-7	15	ἄγκαθεν	head	12	16
0085-005	1-7	15	ἄγκαθεν	relation	ADV	ADV_AP
0085-005	1-7	7	φρουρᾶς	head	6	46
0085-005	1-7	7	φρουρᾶς	relation	APOS	ATR_AP
0085-005	1-7	6	πόνων	head	5	46
0085-005	1-7	6	πόνων	relation	ATR	ATR_AP
