Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue
0085-005	1598-1599	2	δ’	postag	d--------	g--------
0085-005	1598-1599	3	αὐτῶν	postag	p-p---ng-	a-p---ng-
0085-005	1598-1599	11	ὡς	postag	c--------	d--------
0085-005	1-7	2	μὲν	postag	d--------	g--------
0085-005	1-7	6	πόνων	relation	ATR	ATR_AP
0085-005	1-7	6	πόνων	head	5	46
0085-005	1-7	7	φρουρᾶς	relation	APOS	ATR_AP
0085-005	1-7	7	φρουρᾶς	head	6	46
0085-005	1-7	15	ἄγκαθεν	relation	ADV	ADV_AP
0085-005	1-7	15	ἄγκαθεν	head	12	16
0085-005	1-7	16	,	relation	AuxX	APOS
0085-005	1-7	16	,	head	0	12
0085-005	1-7	18	δίκην	relation	APOS	ADV_AP
0085-005	1-7	18	δίκην	head	15	16
0085-005	1-7	19	,	head	15	16
0085-005	1-7	23	ὁμήγυριν	relation	OBJ_CO	OBJ_AP_CO
0085-005	1-7	25	καὶ	postag	b--------	c--------
0085-005	1-7	25	καὶ	head	21	38
0085-005	1-7	29	καὶ	postag	b--------	c--------
0085-005	1-7	33	δυνάστας	relation	OBJ_CO	OBJ_AP_CO
0085-005	1-7	33	δυνάστας	head	25	34
0085-005	1-7	34	,	relation	AuxX	APOS
0085-005	1-7	34	,	head	0	25
0085-005	1-7	36	αἰθέρι	postag	n-s---fd-	n-s---md-
0085-005	1-7	37	[ἀστέρας	relation	APOS	OBJ_AP_CO
0085-005	1-7	37	[ἀστέρας	head	33	34
0085-005	1-7	38	,	relation	AuxX	APOS
0085-005	1-7	38	,	head	0	21
0085-005	1-7	40	φθίνωσιν	relation	APOS_CO	OBJ_AP_CO
0085-005	1-7	42	ἀντολάς	relation	APOS_CO	OBJ_AP_CO
0085-005	1-7	43	τε	postag	b--------	g--------
0085-005	1-7	43	τε	head	25	38
0085-005	1-7	44	τῶν]	postag	l-p---mg-	p-p---mg-
0085-005	8-10	1	καὶ	postag	d--------	c--------
0085-005	8-10	5	τό	postag	l-s---na-	p-s---na-
0085-005	8-10	6	σύμβολον	relation	OBJ	OBJ_AP
0085-005	8-10	6	σύμβολον	head	3	7
0085-005	8-10	7	,	relation	AuxX	APOS
0085-005	8-10	7	,	head	0	3
0085-005	8-10	8	αὐγὴν	relation	APOS	OBJ_AP
0085-005	8-10	8	αὐγὴν	head	6	7
0085-005	8-10	15	τε	postag	b--------	g--------
0085-005	10-11	2	γὰρ	postag	d--------	g--------
0085-005	10-11	7	κέαρ	lemma	κέαρ	κῆρ
0085-005	12-14	2	ἂν	postag	d--------	c--------
0085-005	12-14	2	ἂν	relation	AuxY	AuxZ
0085-005	12-14	3	δὲ	postag	b--------	g--------
0085-005	12-14	6	τ’	postag	b--------	g--------
0085-005	12-14	14	[0]	lemma	_	/
0085-005	14-15	2	γὰρ	postag	d--------	g--------
0085-005	14-15	8	μὴ	postag	d--------	c--------
0085-005	16-19	2	δ’	postag	d--------	g--------
0085-005	16-19	4	ἢ	postag	b--------	c--------
0085-005	16-19	21	ὡς	postag	c--------	d--------
0085-005	16-19	24	ἄριστα	lemma	ἀγαθός	ἄριστος
0085-005	16-19	24	ἄριστα	postag	a-p---nas	a-p---na-
0085-005	16-19	27	[0]	lemma	_	/
0085-005	20-21	2	δ’	postag	d--------	g--------
0085-005	22-24	1	ὦ	relation	AuxZ	AuxY
0085-005	22-24	9	καὶ	postag	b--------	c--------
0085-005	22-24	18	χάριν	lemma	χάριν	χάρις
0085-005	22-24	18	χάριν	postag	r--------	n-s---fa-
0085-005	25	1	ἰοὺ	relation	ExD	AuxY
0085-005	25	1	ἰοὺ	head	4	2
0085-005	25	4	[0]	lemma	_	/
0085-005	26-30	17	Ἰλίου	postag	a-s---fg-	n-s---fg-
0085-005	26-30	21	ὡς	postag	c--------	d--------
0085-005	31	1	αὐτός	postag	p-s---mn-	a-s---mn-
0085-005	31	1	αὐτός	relation	ADV	ATV
0085-005	31	2	τ’	postag	b--------	g--------
0085-005	31	2	τ’	relation	AuxY	COORD
0085-005	31	2	τ’	head	5	0
0085-005	31	3	ἔγωγε	postag	p1s---cn-	p-s---mn-
0085-005	31	5	χορεύσομαι	relation	PRED	PRED_CO
0085-005	31	5	χορεύσομαι	head	0	2
0085-005	32-33	3	γὰρ	postag	d--------	g--------
0085-005	32-33	3	γὰρ	relation	AuxY	AuxC
0085-005	32-33	11	μοι	postag	p1s---cd-	p-s---md-
0085-005	34-35	1	γένοιτο	postag	v3saom---	v3sao----
0085-005	34-35	2	δ’	postag	d--------	g--------
0085-005	34-35	3	οὖν	postag	d--------	g--------
0085-005	34-35	3	οὖν	relation	AuxY	AuxZ
0085-005	34-35	3	οὖν	head	1	2
0085-005	36	2	δ’	postag	d--------	g--------
0085-005	36	3	ἄλλα	postag	p-p---na-	a-p---na-
0085-005	36-37	1	βοῦς	postag	n-s---cn-	n-s---mn-
0085-005	37-38	2	δ’	postag	d--------	g--------
0085-005	37-38	3	αὐτός	postag	p-s---mn-	a-s---mn-
0085-005	37-38	3	αὐτός	relation	ADV	ATV
0085-005	37-38	10	ἂν	postag	d--------	g--------
0085-005	38-39	2	ἑκὼν	relation	ADV	ATV
0085-005	38-39	3	ἐγὼ	postag	p1s---cn-	p-s---mn-
0085-005	38-39	6	κοὐ	lemma	καί	οὐ
0085-005	38-39	6	κοὐ	postag	b--------	d--------
0085-005	38-39	10	[0]	lemma	_	/
0085-005	40-54	2	μὲν	postag	d--------	g--------
0085-005	40-54	8	ἀντίδικος	relation	SBJ	SBJ_AP
0085-005	40-54	8	ἀντίδικος	head	30	14
0085-005	40-54	9	,	head	8	14
0085-005	40-54	10	Μενέλαος	relation	APOS_CO	SBJ_AP_CO
0085-005	40-54	12	ἠδ’	postag	b--------	c--------
0085-005	40-54	12	ἠδ’	head	8	14
0085-005	40-54	13	Ἀγαμέμνων	relation	APOS_CO	SBJ_AP_CO
0085-005	40-54	14	,	relation	AuxX	APOS
0085-005	40-54	14	,	head	0	30
0085-005	40-54	17	καὶ	postag	b--------	c--------
0085-005	40-54	21	ζεῦγος	relation	APOS	SBJ_AP
0085-005	40-54	21	ζεῦγος	head	8	14
0085-005	40-54	23	στόλον	relation	OBJ	OBJ_AP
0085-005	40-54	23	στόλον	head	30	31
0085-005	40-54	26	,	relation	AuxX	UNDEFINED
0085-005	40-54	31	,	relation	AuxX	APOS
0085-005	40-54	31	,	head	0	30
0085-005	40-54	33	ἀρωγὰν	relation	APOS	OBJ_AP
0085-005	40-54	33	ἀρωγὰν	head	23	31
0085-005	40-54	46	παίδων	postag	n-p---cg-	n-p---mg-
0085-005	40-54	47	ὕπατοι	relation	ADV	ATV
0085-005	40-54	59	[0]	lemma	_	/
0085-005	55-59	1	ὕπατος	relation	SBJ	SBJ_AP
0085-005	55-59	1	ὕπατος	head	17	21
0085-005	55-59	2	δ’	postag	d--------	g--------
0085-005	55-59	3	ἀίων	lemma	ἀΐω	ἀίω
0085-005	55-59	4	ἤ	postag	b--------	c--------
0085-005	55-59	5	τις	postag	p-s---cn-	p-s---mn-
0085-005	55-59	6	Ἀπόλλων	relation	APOS_CO	SBJ_AP
0085-005	55-59	7	ἢ	postag	b--------	c--------
0085-005	55-59	8	Πὰν	relation	APOS	SBJ_AP
0085-005	55-59	9	ἢ	postag	b--------	c--------
0085-005	55-59	9	ἢ	head	1	21
0085-005	55-59	10	Ζεὺς	lemma	Ζεύς	ζεύς
0085-005	55-59	10	Ζεὺς	relation	APOS_CO	SBJ_AP
0085-005	55-59	19	Ἐρινύν	lemma	Ἐρινύς	̓ἐρινύς
0085-005	60-67	2	δ’	postag	d--------	g--------
0085-005	60-67	3	Ἀτρέως	relation	ATR	PRED
0085-005	60-67	4	παῖδας	postag	n-p---ca-	n-p---ma-
0085-005	60-67	6	κρείσσων	lemma	κρατύς	κρείσσων
0085-005	60-67	11	Ζεὺς	lemma	Ζεύς	ζεύς
0085-005	60-67	17	καὶ	postag	b--------	c--------
0085-005	60-67	23	τ’	postag	b--------	g--------
0085-005	60-67	30	θ’	postag	b--------	g--------
0085-005	67-68	2	δ’	postag	d--------	g--------
0085-005	67-68	3	ὅπη	lemma	ὅπῃ	ὅπη
0085-005	68	2	δ’	postag	d--------	g--------
0085-005	69-71	1	οὔθ’	lemma	οὔτε	οὔτι
0085-005	69-71	3	οὔθ’	lemma	οὔτε	οὔτι
0085-005	69-71	6	τε	postag	b--------	g--------
0085-005	72-75	1	ἡμεῖς	postag	p1p---cn-	p-p---mn-
0085-005	72-75	2	δ’	postag	d--------	g--------
0085-005	76-82	2	τε	postag	b--------	g--------
0085-005	76-82	3	γὰρ	postag	d--------	g--------
0085-005	76-82	12	δ’	postag	b--------	g--------
0085-005	76-82	14	ἔνι	lemma	ἔνειμι	ἐν
0085-005	76-82	14	ἔνι	postag	v3ppia---	r--------
0085-005	76-82	17	τό	postag	l-s---nn-	p-s---nn-
0085-005	76-82	18	θ’	postag	b--------	g--------
0085-005	76-82	22	κατακαρφομένης	lemma	κατακάρφω	κατακάρφομαι
0085-005	76-82	24	μὲν	postag	d--------	g--------
0085-005	76-82	25	ὁδοὺς	postag	n-p---fa-	n-p---ma-
0085-005	76-82	28	παιδὸς	postag	n-s---cg-	n-s---mg-
0085-005	76-82	29	δ’	postag	b--------	g--------
0085-005	76-82	30	οὐδὲν	postag	p-s---na-	a-s---na-
0085-005	76-82	30	οὐδὲν	relation	ADV	AuxZ
0085-005	76-82	31	ἀρείων	relation	ADV	AtvV
0085-005	76-82	32	ὄναρ	relation	ADV	AtvV
0085-005	76-82	36	[0]	lemma	_	/
0085-005	83-85	1	σὺ	postag	p2s---cv-	p-s---fv-
0085-005	83-85	1	σὺ	relation	SBJ	ExD_AP
0085-005	83-85	1	σὺ	head	13	6
0085-005	83-85	2	δέ	postag	d--------	g--------
0085-005	83-85	3	,	head	1	6
0085-005	83-85	5	θύγατερ	relation	APOS	ExD_AP
0085-005	83-85	5	θύγατερ	head	1	6
0085-005	83-85	6	,	relation	AuxX	APOS
0085-005	83-85	6	,	head	0	13
0085-005	83-85	8	Κλυταιμήστρα	lemma	Κλυταιμνήστρα	Κλυταιμήστρα
0085-005	83-85	8	Κλυταιμήστρα	relation	APOS	ExD_AP
0085-005	83-85	8	Κλυταιμήστρα	head	1	6
0085-005	83-85	9	,	head	1	6
0085-005	83-85	13	[0]	lemma	_	/
0085-005	85	4	[0]	lemma	_	/
0085-005	85-87	2	δ’	postag	d--------	g--------
0085-005	85-87	5	τίνος	postag	p-s---cg-	p-s---fg-
0085-005	88-91	2	δὲ	postag	d--------	g--------
0085-005	88-91	3	θεῶν	relation	ATR	ATR_AP
0085-005	88-91	3	θεῶν	head	18	6
0085-005	88-91	6	,	relation	AuxX	APOS
0085-005	88-91	6	,	head	0	18
0085-005	88-91	7	ὑπάτων	relation	APOS_CO	ATR_AP_CO
0085-005	88-91	9	χθονίων	relation	APOS_CO	ATR_AP_CO
0085-005	88-91	12	τ’	postag	b--------	g--------
0085-005	88-91	12	τ’	head	3	6
0085-005	88-91	13	οὐρανίων	relation	APOS_CO	ATR_AP_CO
0085-005	88-91	15	τ’	postag	b--------	g--------
0085-005	88-91	16	ἀγοραίων	relation	APOS_CO	ATR_AP_CO
0085-005	88-91	17	,	head	3	6
0085-005	92-96	1	ἄλλη	postag	p-s---fn-	a-s---fn-
0085-005	92-96	2	δ’	postag	d--------	g--------
0085-005	92-96	2	δ’	relation	AuxY	COORD
0085-005	92-96	2	δ’	head	6	0
0085-005	92-96	4	οὐρανομήκης	relation	ADV	ATV
0085-005	92-96	6	ἀνίσχει	relation	PRED	PRED_CO
0085-005	92-96	6	ἀνίσχει	head	0	2
0085-005	92-96	13	παρηγορίαις	relation	OBJ	OBJ_AP
0085-005	92-96	13	παρηγορίαις	head	8	14
0085-005	92-96	14	,	relation	AuxX	APOS
0085-005	92-96	14	,	head	0	8
0085-005	92-96	15	πελάνῳ	relation	APOS	OBJ_AP
0085-005	92-96	15	πελάνῳ	head	13	14
0085-005	97-103	1	τούτων	postag	p-p---ng-	a-p---ng-
0085-005	97-103	4	τι	relation	ATR	AuxZ
0085-005	97-103	5	καὶ	postag	b--------	c--------
0085-005	97-103	7	καὶ	postag	b--------	c--------
0085-005	97-103	11	παιών	lemma	παιάν	Παιάν
0085-005	97-103	12	τε	postag	b--------	g--------
0085-005	97-103	19	τοτὲ	lemma	τότε	τοτέ
0085-005	97-103	20	μὲν	postag	d--------	g--------
0085-005	97-103	21	κακόφρων	relation	ADV	ATV
0085-005	97-103	24	τοτὲ	lemma	τότε	τοτέ
0085-005	97-103	25	δ’	postag	b--------	g--------
0085-005	97-103	28	ἀγανὴ	relation	ADV	ATV
0085-005	97-103	39	[0]	lemma	_	/
0085-005	105-107	2	γὰρ	postag	d--------	g--------
0085-005	105-107	4	καταπνεύει	postag	v3spia---	v3spi----
0085-005	105-107	5	πειθὼ	relation	OBJ	OBJ_AP
0085-005	105-107	5	πειθὼ	head	4	11
0085-005	105-107	7	ἀλκὰν	relation	APOS	OBJ_AP
0085-005	105-107	7	ἀλκὰν	head	5	11
0085-005	121	1	αἴλινον	relation	MWE	AuxY
0085-005	121	3	εἰπέ	lemma	λέγω	εἶπον
0085-005	121	6	δ’	postag	b--------	g--------
0085-005	122-124	2	δὲ	postag	d--------	g--------
0085-005	122-124	2	δὲ	relation	AuxY	COORD
0085-005	122-124	2	δὲ	head	10	0
0085-005	122-124	4	ἰδὼν	lemma	ὁράω	εἶδον
0085-005	122-124	10	ἐδάη	relation	PRED	PRED_CO
0085-005	122-124	10	ἐδάη	head	0	2
0085-005	122-124	13	τ’	lemma	τε	σύ
0085-005	122-124	13	τ’	postag	b--------	p-s----a-
0085-005	125	2	δ’	postag	d--------	g--------
0085-005	125	2	δ’	relation	AuxY	COORD
0085-005	125	2	δ’	head	3	0
0085-005	125	3	εἶπε	lemma	λέγω	εἶπον
0085-005	125	3	εἶπε	relation	PRED	PRED_CO
0085-005	125	3	εἶπε	head	0	2
0085-005	126-130	3	μὲν	postag	d--------	g--------
0085-005	126-130	5	Πριάμου	lemma	Πρίαμος	πρίαμος
0085-005	126-130	11	δὲ	postag	b--------	g--------
0085-005	126-130	14	πρόσθε	postag	r--------	d--------
0085-005	126-130	17	μοῖρ’	form	μοῖρ’	Μοῖρ’
0085-005		1	οἶον	lemma	οἷος	οἶος
0085-005		1	οἶον	postag	p-s---na-	a-s---na-
0085-005		1	οἶον	relation	ADV	AuxY
0085-005	139	1	αἴλινον	relation	MWE	AuxY
0085-005	139	3	εἰπέ	lemma	λέγω	εἶπον
0085-005	139	6	δ’	postag	b--------	g--------
0085-005	140-145	2	τόσον	relation	ADV	AuxZ
0085-005	140-145	3	περ	lemma	περ	πέρ
0085-005	140-145	3	περ	postag	d--------	g--------
0085-005	140-145	13	τ’	postag	b--------	g--------
0085-005	140-145	20	τούτων	postag	p-p---ng-	a-p---ng-
0085-005	140-145	22	ξύμβολα	relation	OBJ	OBJ_AP
0085-005	140-145	22	ξύμβολα	head	23	24
0085-005	140-145	24	,	relation	AuxX	APOS
0085-005	140-145	24	,	head	0	23
0085-005	140-145	26	μέν	postag	d--------	g--------
0085-005	140-145	29	δὲ	postag	b--------	g--------
0085-005	140-145	30	φάσματα	relation	APOS	OBJ_AP
0085-005	140-145	30	φάσματα	head	22	24
0085-005	140-145	31	[στρουθῶν]	relation	ATR	UNDEFINED
0085-005	140-145	31	[στρουθῶν]	head	30	0
0085-005	153-155	2	γὰρ	postag	d--------	g--------
0085-005	153-155	5	οἰκονόμος	relation	SBJ	SBJ_AP
0085-005	153-155	5	οἰκονόμος	head	1	12
0085-005	153-155	8	μῆνις	relation	APOS	SBJ_AP
0085-005	153-155	8	μῆνις	head	5	12
0085-005	158-159	1	τοῖς	postag	l-p---nd-	p-p---nd-
0085-005	158-159	2	δ’	postag	d--------	g--------
0085-005	158-159	4	αἴλινον	relation	MWE	AuxY
0085-005	158-159	6	εἰπέ	lemma	λέγω	εἶπον
0085-005	158-159	9	δ’	postag	b--------	g--------
0085-005	163-166	7	Διός	lemma	Ζεύς	ζεύς
0085-005	167-170	1	οὐ	postag	d--------	g--------
0085-005	167-170	2	δ’	postag	b--------	---------
0085-005	167-170	2	δ’	relation	AuxY	COORD
0085-005	167-170	2	δ’	head	14	0
0085-005	167-170	12	οὐ	postag	d--------	g--------
0085-005	167-170	13	δὲ	postag	d--------	g--------
0085-005	167-170	14	λέξεται	relation	PRED	PRED_CO
0085-005	167-170	14	λέξεται	head	0	2
0085-005	167-170	16	ὤν	relation	ADV	ATV
0085-005	173-175	1	ζῆνα	form	ζῆνα	Ζῆνα
0085-005	173-175	2	δέ	postag	d--------	g--------
0085-005	173-175	3	τις	postag	p-s---cn-	p-s---mn-
0085-005	173-175	8	φρενῶν	postag	n-p---fg-	n-p----g-
0085-005	179-180	2	δ’	postag	d--------	g--------
0085-005	179-180	4	θ’	postag	b--------	g--------
0085-005		1	καὶ	postag	d--------	c--------
0085-005		3	ἄκοντας	lemma	ἀέκων	ἄκων
0085-005	182-183	2	δέ	postag	d--------	g--------
0085-005	182-183	2	δέ	relation	AuxY	SBJ
0085-005	182-183	3	που	lemma	που	πού
0085-005	182-183	10	[0]	lemma	_	/
0085-005	205	2	δ’	postag	d--------	g--------
0085-005	205	4	πρέσβυς	postag	a-s---mn-	n-s---mn-
0085-005	205	6	εἶπε	lemma	λέγω	εἶπον
0085-005	211-213	8	γένωμαι	postag	v1sasm---	v1sas----
0085-005	211-213	12	[0]	lemma	_	/
0085-005	217	2	γὰρ	postag	d--------	g--------
0085-005	218-221	2	δ’	postag	d--------	g--------
0085-005	218-221	2	δ’	relation	AuxY	COORD
0085-005	218-221	2	δ’	head	17	0
0085-005	218-221	6	φρενὸς	postag	n-s---fg-	n-s----g-
0085-005	218-221	17	μετέγνω	relation	PRED	PRED_CO
0085-005	218-221	17	μετέγνω	head	0	2
0085-005	222-223	3	γὰρ	postag	d--------	g--------
0085-005	223-227	2	δ’	postag	d--------	g--------
0085-005	223-227	3	οὖν	postag	d--------	g--------
0085-005	223-227	3	οὖν	relation	AuxY	AuxZ
0085-005	223-227	3	οὖν	head	1	2
0085-005	223-227	5	γενέσθαι	postag	v--anm---	v--an----
0085-005	223-227	11	καὶ	postag	b--------	c--------
0085-005	228-230	2	δὲ	postag	d--------	g--------
0085-005	228-230	2	δὲ	relation	AuxY	COORD
0085-005	228-230	2	δὲ	head	11	0
0085-005	228-230	3	καὶ	postag	b--------	c--------
0085-005	228-230	7	οὐδὲν	postag	p-s---na-	a-s---na-
0085-005	228-230	9	τε	postag	b--------	g--------
0085-005	228-230	11	ἔθεντο	postag	v3paim---	v3pai----
0085-005	228-230	11	ἔθεντο	head	0	2
0085-005	231-237	2	δ’	postag	d--------	g--------
0085-005	231-237	15	προνωπῆ	relation	ADV	ATV
0085-005	231-237	20	τε	postag	b--------	g--------
0085-005	231-237	27	,	relation	AuxK	UNDEFINED
0085-005	238	3	τ’	postag	b--------	g--------
0085-005	238	7	[0]	lemma	_	/
0085-005	238	8	[1]	lemma	_	/
0085-005	248	1	τὰ	postag	l-p---na-	p-p---na-
0085-005	248	2	δ’	postag	d--------	g--------
0085-005	248	4	οὔ	lemma	οὔτε	οὔτι
0085-005	248	5	τ’	postag	b--------	g--------
0085-005	248	6	εἶδον	lemma	ὁράω	εἶδον
0085-005	248	7	οὔ	lemma	οὔτε	οὔτι
0085-005	248	8	τ’	postag	b--------	g--------
0085-005	249	2	δὲ	postag	d--------	g--------
0085-005	249	3	Κάλχαντος	lemma	Κάλχας	κάλχας
0085-005	249	7	[0]	lemma	_	/
0085-005	252	3	δ’	postag	b--------	g--------
0085-005	252	6	γένοιτ’	postag	v3saom---	v3sao----
0085-005	252	8	ἂν	lemma	ἂν	ἐάν
0085-005	252	8	ἂν	postag	d--------	c--------
0085-005	253	2	δὲ	postag	d--------	g--------
0085-005	253	4	προστένειν	relation	ADV	OBJ
0085-005	253	6	[0]	lemma	_	/
0085-005	254	1	τορὸν	relation	ADV	AtvV
0085-005	254	2	γὰρ	postag	d--------	g--------
0085-005	254	4	σύνορθρον	relation	ADV	AtvV
0085-005		3	οὖν	head	1	2
0085-005	258	5	Κλυταιμήστρα	lemma	Κλυταιμνήστρα	Κλυταιμήστρα
0085-005	259-260	2	γάρ	postag	d--------	g--------
0085-005	259-260	9	ἄρσενος	postag	a-s----g-	n-s----g-
0085-005	261-263	1	σὺ	postag	p2s---cn-	p-s----n-
0085-005	261-263	2	δ’	postag	d--------	g--------
0085-005	261-263	2	δ’	relation	AuxY	COORD
0085-005	261-263	2	δ’	head	13	0
0085-005	261-263	6	εἴτε	postag	b--------	c--------
0085-005	261-263	7	μὴ	postag	d--------	c--------
0085-005	261-263	13	κλύοιμ’	relation	PRED	PRED_CO
0085-005	261-263	13	κλύοιμ’	head	0	2
0085-005	261-263	14	ἂν	postag	d--------	g--------
0085-005	261-263	15	εὔφρων	relation	ADV	AtvV
0085-005	261-263	17	[1]	lemma	_	/
0085-005	261-263	18	[0]	lemma	_	/
0085-005	263	1	οὐ	postag	d--------	g--------
0085-005	263	2	δὲ	postag	d--------	g--------
0085-005	263	2	δὲ	relation	AuxY	COORD
0085-005	263	2	δὲ	head	6	0
0085-005	263	6	[0]	lemma	_	/
0085-005	263	6	[0]	relation	PRED	PRED_CO
0085-005	263	6	[0]	head	0	2
0085-005	264-265	2	μέν	postag	d--------	g--------
0085-005	264-265	4	ὥσπερ	postag	c--------	d--------
0085-005	264-265	9	γένοιτο	postag	v3saom---	v3sao----
0085-005	264-265	14	[0]	lemma	_	/
0085-005	266	1	πεύσῃ	relation	PRED	PRED_CO
0085-005	266	1	πεύσῃ	head	0	2
0085-005	266	2	δὲ	postag	d--------	g--------
0085-005	266	2	δὲ	relation	AuxY	COORD
0085-005	266	2	δὲ	head	1	0
0085-005	267	2	γὰρ	postag	d--------	g--------
0085-005	269	5	[0]	lemma	_	/
0085-005	270	2	μ’	postag	p1s---ca-	p-s---ma-
0085-005	271	2	γὰρ	postag	d--------	g--------
0085-005	271	3	φρονοῦντος	relation	ADV	ATV
0085-005	271	5	σοῦ	postag	p2s---cg-	p-s----g-
0085-005	272	2	γὰρ	postag	d--------	g--------
0085-005	272	4	πιστόν	lemma	πιστός	πιστόν
0085-005	272	4	πιστόν	postag	a-s---nn-	n-s---nn-
0085-005	272	6	[0]	lemma	_	/
0085-005	272	3	σοι	postag	p2s---cd-	p-s----d-
0085-005	273	2	δ’	postag	d--------	g--------
0085-005	273	2	δ’	relation	AuxY	COORD
0085-005	273	2	δ’	head	5	0
0085-005	273	5	[0]	lemma	_	/
0085-005	273	5	[0]	relation	PRED	PRED_CO
0085-005	273	5	[0]	head	0	2
0085-005	273	1	μὴ	postag	d--------	c--------
0085-005	273	5	[0]	lemma	_	/
0085-005	274	1	πότερα	lemma	πότερον	πότερος
0085-005	274	1	πότερα	postag	d--------	a-p---na-
0085-005	274	2	δ’	postag	d--------	g--------
0085-005	275	3	ἂν	postag	d--------	g--------
0085-005	276	2	ἦ	head	4	1
0085-005	276	3	σ’	lemma	σύ	προν
0085-005	276	3	σ’	postag	p2s---ca-	---------
0085-005	276	5	τις	postag	p-s---cn-	p-s---fn-
0085-005	277	1	παιδὸς	postag	n-s---cg-	n-s---fg-
0085-005	277	2	νέας	lemma	νέος	νέα
0085-005	277	3	ὣς	postag	c--------	d--------
0085-005	277	5	ἐμωμήσω	postag	v2saim---	v2saie---
0085-005	277	8	[0]	lemma	_	/
0085-005	277	9	[1]	lemma	_	/
0085-005	278	1	ποίου	postag	p-s---mg-	a-s---mg-
0085-005	278	3	δὲ	postag	b--------	g--------
0085-005	278	3	δὲ	relation	AuxY	COORD
0085-005	278	3	δὲ	head	5	0
0085-005	278	4	καὶ	postag	b--------	c--------
0085-005	278	5	πεπόρθηται	head	0	3
0085-005	279	9	[0]	lemma	_	/
0085-005	280	1	καὶ	postag	d--------	c--------
0085-005	280	2	τίς	postag	p-s---cn-	p-s---mn-
0085-005	280	5	ἂν	postag	d--------	g--------
0085-005	280	6	ἀγγέλων	postag	n-p---mg-	n-p---fg-
0085-005	281	7	[0]	lemma	_	/
0085-005	282-283	2	δὲ	postag	d--------	g--------
0085-005	282-283	2	δὲ	relation	AuxY	COORD
0085-005	282-283	2	δὲ	head	8	0
0085-005	282-283	8	ἔπεμπεν	relation	PRED	PRED_CO
0085-005	282-283	8	ἔπεμπεν	head	0	2
0085-005	283-284	2	μὲν	postag	d--------	g--------
0085-005	283-284	8	[0]	lemma	_	/
0085-005		24	?	relation	AuxK	AuxG
0085-005	290-291	2	δ’	postag	d--------	g--------
0085-005	290-291	5	οὐ	postag	b--------	g--------
0085-005	290-291	6	δ’	postag	b--------	g--------
0085-005	292-293	2	δὲ	postag	d--------	g--------
0085-005	292-293	2	δὲ	relation	AuxY	COORD
0085-005	292-293	2	δὲ	head	10	0
0085-005	292-293	10	σημαίνει	relation	PRED	PRED_CO
0085-005	292-293	10	σημαίνει	head	0	2
0085-005	294-295	1	οἱ	postag	l-p---mn-	p-p---mn-
0085-005	294-295	2	δ’	postag	d--------	g--------
0085-005	294-295	4	καὶ	postag	b--------	c--------
0085-005	296-299	3	δ’	postag	b--------	g--------
0085-005	296-299	3	δ’	relation	AuxY	COORD
0085-005	296-299	3	δ’	head	18	0
0085-005	296-299	7	ὑπερθοροῦσα	lemma	ὑπερθρῴσκω	ὑπερθρῳσκω
0085-005	296-299	9	Ἀσωποῦ	lemma	Ἀσωπός	̓ἀσωπός
0085-005	296-299	18	ἤγειρεν	relation	PRED	PRED_CO
0085-005	296-299	18	ἤγειρεν	head	0	3
0085-005	296-299	19	ἄλλην	postag	p-s---fa-	a-s---fa-
0085-005	300-301	2	δὲ	postag	d--------	g--------
0085-005	300-301	2	δὲ	relation	AuxY	COORD
0085-005	300-301	2	δὲ	head	5	0
0085-005	300-301	5	ἠναίνετο	relation	PRED	PRED_CO
0085-005	300-301	5	ἠναίνετο	head	0	2
0085-005	300-301	7	πλέον	lemma	πολύς	πλείων
0085-005	300-301	10	εἰρημένων	lemma	λέγω	ἐρῶ
0085-005	302	2	δ’	postag	d--------	g--------
0085-005	302	2	δ’	relation	AuxY	COORD
0085-005	302	2	δ’	head	5	0
0085-005	302	4	γοργῶπιν	form	γοργῶπιν	Γοργῶπιν
0085-005	302	5	ἔσκηψεν	relation	PRED	PRED_CO
0085-005	302	5	ἔσκηψεν	head	0	2
0085-005	303-304	2	τ’	lemma	τε	σύ
0085-005	303-304	2	τ’	postag	b--------	p-s----a-
0085-005	303-304	2	τ’	relation	AuxY	COORD
0085-005	303-304	2	τ’	head	6	0
0085-005	303-304	6	ὤτρυνε	relation	PRED	PRED_CO
0085-005	303-304	6	ὤτρυνε	head	0	2
0085-005	303-304	8	μὴ	postag	d--------	c--------
0085-005	305-308	1	πέμπουσι	relation	PRED	PRED_CO
0085-005	305-308	1	πέμπουσι	head	0	2
0085-005	305-308	2	δ’	postag	d--------	g--------
0085-005	305-308	2	δ’	relation	AuxY	COORD
0085-005	305-308	2	δ’	head	1	0
0085-005	305-308	10	καὶ	postag	d--------	c--------
0085-005	308-309	4	ἀφίκετο	postag	v3saim---	v3sai----
0085-005	308-309	5	ἀραχναῖον	form	ἀραχναῖον	Ἀραχναῖον
0085-005	308-309	6	αἶπος	relation	OBJ	OBJ_AP
0085-005	308-309	6	αἶπος	head	2	7
0085-005	308-309	7	,	relation	AuxX	APOS
0085-005	308-309	7	,	head	0	2
0085-005	308-309	9	σκοπάς	relation	APOS	OBJ_AP
0085-005	308-309	9	σκοπάς	head	6	7
0085-005	308-309	11	[0]	lemma	_	/
0085-005	312-313	2	τοί	postag	d--------	g--------
