Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	49-52	16	ἄκμονες	head	5	14
0085-002	49-52	17	,	head	5	14
0085-002	59-64	12	Ἀσιῆτις	lemma	Ἀσιάτις	Ἀσιᾶτις
0085-002	56-58	3	τ’	relation	AuxY	COORD
0085-002	56-58	3	τ’	head	8	0
0085-002	56-58	8	ἕπεται	relation	PRED	PRED_CO
0085-002	56-58	8	ἕπεται	head	0	3
0085-002		10	γείτονα	postag	a-s---ma-	n-s---ma-
0085-002		18	Ἕλλας	head	15	0
0085-002	87-90	2	δ’	head	15	0
0085-002	87-90	15	[0]	relation	PRED	PRED_CO
0085-002	87-90	15	[0]	head	0	2
0085-002		6	τὸ	relation	ATR	AuxZ	y
0085-002	107-108	2	δ’	head	8	0
0085-002	107-108	5	τίς	postag	p-s---cn-	p-s---mn-
0085-002	111-114	7	ἄτα	form	ἄτα	Ἄτα
0085-002	111-114	12	ὕπερθέν	postag	d--------	r--------	y
0085-002		8	ὀᾶ	relation	APOS	ExD
0085-002		8	ὀᾶ	head	11	23
0085-002	133-134	2	δ’	head	5	0
0085-002	133-134	5	πίμπλαται	relation	PRED	PRED_CO
0085-002	133-134	5	πίμπλαται	head	0	2
0085-002	140-146	2	ἄγε	postag	i--------	d--------
0085-002	140-146	16	,	relation	AuxX	AuxY	y
0085-002	140-146	24	Ξέρξης	relation	SBJ	SBJ_AP
0085-002	140-146	24	Ξέρξης	head	23	27
0085-002	140-146	27	,	relation	AuxX	APOS
0085-002	140-146	27	,	head	0	23
0085-002	140-146	30	γένος	relation	APOS	SBJ_AP
0085-002	140-146	30	γένος	head	24	27
0085-002	150-152	5	ὀφθαλμοῖς	relation	ADV	OBJ	y
0085-002	150-152	8	μήτηρ	relation	SBJ	SBJ_AP
0085-002	150-152	8	μήτηρ	head	7	12
0085-002	150-152	9	βασιλέως	postag	n-s---mg-	n-s---mn-	y
0085-002	150-152	10	,	head	0	12
0085-002	150-152	11	βασίλεια	relation	APOS	SBJ_AP
