Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	314-317	9	τρισμυρίας	postag	m-s---fg-	a-s---fg-	y
0085-002	314-317	10	,	head	2	5
0085-002	300-301	3	εἶπας	lemma	λέγω	εἶπον
0085-002	318-319	1	καὶ	postag	d--------	c--------
0085-002	318-319	1	καὶ	relation	AuxY	COORD
0085-002	318-319	1	καὶ	head	14	0
0085-002	318-319	14	κατέφθιτο	relation	PRED	PRED_CO
0085-002	318-319	14	κατέφθιτο	head	0	1
0085-002	293-294	1	ὅμως	postag	d--------	c--------	y
0085-002	293-294	1	ὅμως	head	10	2	y
0085-002	293-294	2	δ’	head	10	0	y
0085-002	293-294	10	[0]	relation	PRED	PRED_CO	y
0085-002	293-294	10	[0]	head	0	2	y
0085-002	294-295	2	δ’	head	5	0	y
0085-002	294-295	5	λέξον	relation	PRED	PRED_CO	y
0085-002	294-295	5	λέξον	head	0	2	y
0085-002	294-295	11	ὅμως	postag	d--------	c--------	y
0085-002	311-313	2	τε	relation	AuxY	COORD
0085-002	311-313	2	τε	head	19	0
0085-002	311-313	6	Ἀρκτεύς	relation	SBJ_CO	SBJ_AP_CO
0085-002	311-313	7	,	relation	AuxX	AuxY
0085-002	311-313	8	Ἀδεύης	relation	SBJ_CO	SBJ_AP_CO
0085-002	311-313	9	,	relation	AuxX	AuxY
0085-002	311-313	10	καὶ	head	19	14
0085-002	311-313	13	Φαρνοῦχος	relation	SBJ_CO	SBJ_AP_CO
0085-002	311-313	14	,	relation	AuxX	APOS
0085-002	311-313	14	,	head	0	19
0085-002	311-313	15	οἵδε	relation	APOS	SBJ_AP
0085-002	311-313	15	οἵδε	head	10	14
0085-002	311-313	18	μιᾶς	postag	m-s---fg-	a-s---fg-
0085-002	311-313	19	πέσον	relation	PRED	PRED_CO
0085-002	311-313	19	πέσον	head	0	2
0085-002	330	3	δ’	head	5	0
0085-002	330	5	ἀπαγγέλλω	relation	PRED	PRED_CO
0085-002	330	5	ἀπαγγέλλω	head	0	3
0085-002	296-298	1	τίς	postag	p-s---cn-	p-s---mn-
0085-002	296-298	3	τέθνηκε	lemma	θνῄσκω	θνήσκω
0085-002	296-298	5	τίνα	postag	p-s---ca-	p-s---ma-
0085-002	296-298	19	θανών	lemma	θνῄσκω	θνήσκω
0085-002	329	4	ὑπεμνήσθην	lemma	ὑπομιμνῄσκω	ὑπομιμνήσκω y
0085-002	304-305	10	ἀφήλατο	lemma	ἀφάλλομαι	ἀφ́αλλομαι
0085-002	304-305	10	ἀφήλατο	postag	v3saim---	v3saia---  y
0085-002	304-305	10	ἀφήλατο	relation	PRED	PRED_CO
0085-002	304-305	10	ἀφήλατο	head	0	1
0085-002	341-343	2	δέ	head	16	0
0085-002	341-343	3	,	head	0	5 y
0085-002	341-343	5	γὰρ	relation	AuxY	AuxC y
0085-002	341-343	5	γὰρ	head	6	16  y
0085-002	341-343	6	οἶδα	relation	ExD	ADV  y
0085-002	341-343	6	οἶδα	head	16	5 y
0085-002	341-343	7	,	head	0	5 y
0085-002	341-343	16	δ’	head	0	2
0085-002	345-346	4	τις	postag	p-s---cn-	p-s---mn-
0085-002	350	2	δὲ	head	8	0
0085-002	350	8	φράσον	relation	PRED	PRED_CO
0085-002	350	8	φράσον	head	0	2
0085-002	331-332	5	δὴ	relation	AuxY	AuxZ
0085-002	331-332	11	Πέρσαις	lemma	Πέρσης	πέρθω	y
0085-002	331-332	11	Πέρσαις	postag	n-p---md-	v-sapamn-  y
0085-002	331-332	12	καὶ	head	7	8
0085-002	331-332	14	κωκύματα	relation	APOS_CO	OBJ_AP_CO
0085-002	338-340	1	καὶ	postag	d--------	c--------
0085-002	338-340	1	καὶ	relation	AuxY	COORD
0085-002	338-340	1	καὶ	head	15	0
0085-002	338-340	12	ναῶν	head	11	9
0085-002	338-340	15	δ’	head	0	1
0085-002	338-340	18	χωρὶς	postag	r--------	d--------  y
0085-002	344	1	μή	postag	d--------	c--------
0085-002	344	1	μή	relation	AuxZ	AuxY
0085-002	334-336	6	Ἑλληνίδων	postag	a-p---fg-	n-p---fg-
0085-002	334-336	8	ὥστ’	postag	c--------	d--------
0085-002	334-336	10	Περσικῷ	lemma	Περσικός	περσικός y
0085-002	347	3	σῴζουσι	lemma	σῴζω	σώζω
0085-002	351-352	1	τίνες	postag	p-p---cn-	p-p---mn-
0085-002	351-352	4	πότερον	lemma	πότερον	πότερος  y
0085-002	351-352	4	πότερον	postag	d--------	a-s---na- y
0085-002	351-352	4	πότερον	head	17	9
0085-002	351-352	5	Ἕλληνες	postag	n-p---mn-	n-p---fn- y
0085-002	351-352	6	,	head	17	9
0085-002	351-352	8	,	head	17	9
0085-002	351-352	9	ἢ	relation	AuxY	COORD
0085-002	351-352	9	ἢ	head	17	3
0085-002	351-352	10	παῖς	postag	n-s---cn-	n-s---mn-
0085-002	351-352	17	[0]	relation	PRED	PRED_CO
0085-002	351-352	17	[0]	head	3	9
0085-002	343	1	ὧδ’	relation	ADV	OBJ y
0085-002	355-360	5	Ἀθηναίων	lemma	Ἀθηναῖος	̓ἀθηναῖος  y
0085-002	355-360	28	ἐπανθορόντες	postag	v-papamn-	v-papa-n- y
0085-002	355-360	34	ἐκσωσοίατο	relation	APOS_CO	OBJ_AP_CO
0085-002	386-391	2	γε	head	1	3
0085-002	386-391	16	Ἑλλήνων	lemma	Ἕλλην	῞ἕλλην  y
0085-002	386-391	16	Ἑλλήνων	postag	n-p---mg-	n-p---fg-  y
0085-002	386-391	25	νησιώτιδος	lemma	νησιῶτις	νησιώτης  y
0085-002	377-379	2	δὲ	head	16	0
0085-002	377-379	8	ἐπῄει	lemma	ἐπέρχομαι	ἔπειμι
0085-002	377-379	16	ἐχώρει	relation	PRED	PRED_CO
0085-002	377-379	16	ἐχώρει	head	0	2
0085-002	391-392	2	δὲ	head	5	0
0085-002	391-392	5	παρῆν	relation	PRED	PRED_CO
0085-002	391-392	5	παρῆν	head	0	2
0085-002	353-354	3	,	relation	AuxX	AuxZ y
0085-002	353-354	6	,	relation	AuxX	AuxZ y
0085-002	384-385	7	Ἑλλήνων	lemma	Ἕλλην	῞ἕλλην y
0085-002	384-385	7	Ἑλλήνων	postag	n-p---mg-	n-p---fg- y
0085-002	384-385	11	οὐδαμῇ	lemma	οὐδαμῇ	οὐδαμός y
0085-002	384-385	11	οὐδαμῇ	postag	d--------	a-s---fd- y
0085-002	361-368	2	δ’	head	19	0
0085-002	361-368	10	Ἕλληνος	postag	a-s---mg-	n-s---mg-
0085-002	361-368	19	προφωνεῖ	relation	PRED	PRED_CO
0085-002	361-368	19	προφωνεῖ	head	0	2
0085-002	361-368	22	λόγον	relation	OBJ	OBJ_AP
0085-002	361-368	22	λόγον	head	19	23
0085-002	361-368	23	,	relation	AuxX	APOS
0085-002	361-368	23	,	head	0	19
0085-002	361-368	25	ἂν	relation	AuxY	AuxZ y
0085-002	361-368	35	αἰθέρος	postag	n-s---fg-	n-s---mg-  y
0085-002	361-368	38	τάξαι	relation	APOS_CO	OBJ_AP_CO
0085-002	361-368	44	τρισὶν	postag	m-p---cd-	m-------- y
0085-002	361-368	52	δὲ	head	22	23
0085-002	361-368	56	πέριξ	relation	ADV	AuxP y
0085-002	361-368	58	[0]	relation	APOS_CO	OBJ_AP_CO
0085-002	374-376	1	οἱ	postag	l-p---mn-	p-p---mn-
0085-002	392-394	8	Ἕλληνες	postag	n-p---mn-	n-p---fn-
0085-002	381-383	3	ὡς	postag	c--------	d--------
0085-002	381-383	10	δὴ	relation	AuxY	AuxZ
0085-002	380	2	δὲ	head	4	0
0085-002	380	4	παρεκάλει	relation	PRED	PRED_CO
0085-002	380	4	παρεκάλει	head	0	2
0085-002	369-371	1	ὡς	postag	d--------	c--------
0085-002	369-371	5	Ἕλληνες	lemma	Ἕλλην	῞ἕλλην y
0085-002	369-371	12	τινά	postag	p-s---ca-	p-s---ma-
0085-002	369-371	14	πᾶσιν	lemma	πᾶς	πᾶσις
0085-002	369-371	14	πᾶσιν	postag	a-p---nd-	n-s---fa-
0085-002	431-432	3	τόδ’	relation	OBJ	OBJ_AP
0085-002	431-432	3	τόδ’	head	4	5
0085-002	431-432	5	,	relation	AuxX	APOS
0085-002	431-432	5	,	head	0	4
0085-002	431-432	8	μιᾷ	postag	m-s---fd-	a-s---fd-
0085-002	431-432	12	θανεῖν	lemma	θνῄσκω	θνήσκω
0085-002	431-432	12	θανεῖν	relation	APOS	OBJ_AP
0085-002	431-432	12	θανεῖν	head	3	5
0085-002	408-409	1	εὐθὺς	head	8	0
0085-002	408-409	2	δὲ	head	8	0
0085-002	408-409	8	ἔπαισεν	relation	PRED	PRED_CO
0085-002	408-409	8	ἔπαισεν	head	0	2
0085-002	409-411	18	δόρυ	postag	n-s---na-	n-----na- y
0085-002	429-430	2	δὲ	head	15	0
0085-002	429-430	6	δ’	relation	AuxY	AuxZ
0085-002	429-430	15	ἐκπλήσαιμί	relation	PRED	PRED_CO
0085-002	429-430	15	ἐκπλήσαιμί	head	0	2
0085-002	429-430	16	σοι	postag	p2s---cd-	p-s---md-
0085-002	426-428	2	δ’	head	5	0
0085-002	426-428	3	ὁμοῦ	relation	ADV	AuxP y
0085-002	426-428	5	κατεῖχε	relation	PRED	PRED_CO
0085-002	426-428	5	κατεῖχε	head	0	2
0085-002	426-428	13	ἀφείλετο	postag	v3saim---	v3sai---- m
0085-002	395	2	δ’	head	6	0
0085-002	395	6	ἐπέφλεγεν	relation	PRED	PRED_CO
0085-002	395	6	ἐπέφλεγεν	head	0	2
0085-002	412-413	4	νυν	lemma	νυν	νῦν
0085-002	412-413	6	Περσικοῦ	lemma	Περσικός	περσικός y
0085-002	424-426	1	τοὶ	postag	l-p---mn-	p-p---mn-
0085-002	424-426	2	δ’	head	15	0
0085-002	424-426	3	ὥστε	postag	c--------	d--------  y
0085-002	424-426	4	θύννους	head	5	18
0085-002	424-426	5	ἤ	head	18	3
0085-002	424-426	6	τιν’	postag	p-s---ca-	p-s---ma-
0085-002	424-426	7	ἰχθύων	lemma	ἰχθῦς	ἰχθύς y
0085-002	424-426	8	βόλον	head	5	18
0085-002	424-426	15	,	head	0	2
0085-002	424-426	18	[0]	head	3	5
0085-002	399-405	26	παῖδες	postag	n-p---cv-	n-p---mv-
0085-002	413-420	36	ὑπτιοῦτο	postag	v3siie---	v3siip--- y
0085-002	413-420	38	σκάφη	lemma	σκάφος	σκάφη  y
0085-002	413-420	38	σκάφη	postag	n-p---nn-	n-s---fn-  y
0085-002	441-444	9	ἄριστοι	lemma	ἀγαθός	ἄριστος
0085-002	441-444	9	ἄριστοι	postag	a-p---mns	a-p---mn- y
0085-002	441-444	18	πρώτοις	lemma	πρῶτος	πρότερος y
0085-002	441-444	21	τεθνᾶσιν	lemma	θνῄσκω	θνήσκω
0085-002	441-444	26	[0]	relation	SBJ	SBJ_CO
0085-002	457-459	2	δὲ	head	3	0
0085-002	457-459	3	κυκλοῦντο	relation	PRED	PRED_CO
0085-002	457-459	3	κυκλοῦντο	head	0	2
0085-002	457-459	7	ὥστ’	postag	c--------	d--------  y
0085-002	433-434	4	δὴ	relation	AuxY	AuxZ
0085-002	450-454	16	Ἑλλήνων	lemma	Ἕλλην	῞ἕλλην  y
0085-002	450-454	16	Ἑλλήνων	postag	n-p---mg-	n-p---fg-  y
0085-002	435	2	νυν	lemma	νυν	νῦν  y
0085-002	438	3	γένοιτ’	postag	v3saom---	v3sao---- y
0085-002	438	6	ἔτ’	relation	ADV	AuxZ  y
0085-002	438	7	ἐχθίων	lemma	ἐχθρός	ἐχθίων y
0085-002	439-440	3	αὖ	relation	ADV	AuxZ
0085-002	447-449	4	πρόσθε	postag	r--------	d--------  y
0085-002	473-475	7	Ἀθηνῶν	lemma	Ἀθῆναι	̓ἀθῆναι  y
0085-002	500-501	2	δὲ	head	8	0
0085-002	500-501	5	ἐπαύσατο	relation	ADV	AuxC y
0085-002	506-507	5	τάχιστα	postag	a-p---nns	a-p---nn- y
0085-002	488-490	7	Θεσσαλῶν	lemma	Θεσσαλός	θεσσαλός y
0085-002	508-511	7	Θρῄκην	lemma	Θρᾴκη	θρᾴκη y
0085-002	482-487	30	Δωρίδ’	lemma	Δωρίς	δωρίς  y
0085-002	482-487	33	Μηλιᾶ	lemma	Μηλιεύς	μηλιεύς y
0085-002	511-512	4	Περσῶν	lemma	Πέρσης	πέρσης y
0085-002	511-512	7	φιλτάτην	lemma	φίλος	φίλτατος  y
0085-002	511-512	7	φιλτάτην	postag	a-s---fas	a-s---fa-  y
0085-002	502-503	4	πρὶν	postag	c--------	d--------  y
0085-002	502-503	10	σεσωσμένος	lemma	σῴζω	σώζω
0085-002	523-526	15	ἐπίσταμαι	relation	PRED	PRED_CO
0085-002	523-526	15	ἐπίσταμαι	head	14	21
0085-002	523-526	17	ὡς	postag	d--------	c--------
0085-002	523-526	19	ἐξειργασμένοις	head	18	31
0085-002	523-526	20	,	head	15	21
0085-002	523-526	21	ἀλλ’	relation	AuxY	COORD
0085-002	523-526	21	ἀλλ’	head	15	14
0085-002	523-526	25	εἴ	head	15	21
0085-002	523-526	29	πέλοι	head	25	31
0085-002	529-531	1	καὶ	postag	d--------	c--------
0085-002	529-531	5	περ	lemma	περ	πέρ
0085-002	529-531	7	ἐμοῦ	postag	p1s---cg-	p-s---fg-
0085-002	529-531	8	πρόσθεν	postag	r--------	d-------- y
0085-002	529-531	12	,	relation	AuxX	AuxY
0085-002	529-531	19	καί	postag	d--------	c--------
0085-002	521-522	1	ὅμως	postag	d--------	c--------  y
0085-002	521-522	2	δ’	head	14	0
0085-002	521-522	3	,	head	0	1
0085-002	521-522	4	ἐπειδὴ	lemma	ἐπειδή	ἐπεί y
0085-002	520	5	ἄγαν	relation	ADV	AuxZ y
0085-002	515-516	6	ἄγαν	relation	ADV	AuxZ y
0085-002	515-516	11	Περσικῷ	lemma	Περσικός	περσικός y
0085-002	518-519	8	κάρτα	relation	ADV	AuxZ
0085-002	541-545	4	περσίδες	form	περσίδες	Περσίδες
0085-002	546-547	6	αἴρω	relation	PRED	PRED_CO
0085-002	546-547	6	αἴρω	head	0	2
0085-002	546-547	7	δοκίμως	relation	ADV	AuxZ  y
0085-002	532-536	9	μεγαλαύχων	relation	ATR_CO	ATR
0085-002	532-536	11	πολυάνδρων	relation	ATR_CO	ATR
0085-002	532-536	16	σούσων	form	σούσων	Σούσων
0085-002	532-536	18	Ἀγβατάνων	postag	n-p---ng-	---------
0085-002	548-549	3	δὴ	relation	AuxY	AuxZ
0085-002	548-549	7	γαῖ’	lemma	γῆ	γαῖα
0085-002		4	οὕτω	relation	ADV	AuxZ
0085-002	558-563	14	νᾶες	relation	MWE	AuxY
0085-002	558-563	26	Ἰαόνων	lemma	Ἰάων	̓ἰάων y
0085-002	564-567	2	δ’	head	6	0
0085-002	564-567	6	εἰσακούομεν	relation	PRED	PRED_CO
0085-002	564-567	6	εἰσακούομεν	head	0	2
0085-002	564-567	7	Θρῄκης	lemma	Θρᾴκη	θρᾴκη y
0085-002	568-571	12	ἠέ	lemma	ἠέ	ἤ y
0085-002	568-571	12	ἠέ	postag	i--------	c-------- y
0085-002	568-571	20	σύρονται	relation	PRED	PRED_CO
0085-002	568-571	20	σύρονται	head	0	2
0085-002	576-578	2	δὲ	head	7	0
0085-002	576-578	7	σκύλλονται	relation	PRED	PRED_CO
0085-002	576-578	7	σκύλλονται	head	0	2
0085-002	576-578	11	ἠέ	lemma	ἠέ	ἤ y
0085-002	576-578	11	ἠέ	postag	i--------	c-------- y
0085-002		9	δαιμόνι’	lemma	δαιμόνιος	δαιμόνιον
0085-002		9	δαιμόνι’	postag	a-p---na-	n-p---na-
0085-002	584-589	7	οὐκέτι	relation	ADV	AuxZ
0085-002	584-589	8	περσονομοῦνται	lemma	Περσονομέομαι	περσονομέομαι
0085-002	595-597	2	δ’	head	7	0
0085-002	595-597	7	ἔχει	relation	PRED	PRED_CO
0085-002	595-597	7	ἔχει	head	0	2
0085-002	591-592	2	δ’	head	9	0
0085-002	591-592	6	ἐν	head	9	0
0085-002	591-592	7	φυλακαῖς	head	6	9
0085-002	591-592	9	[0]	relation	PRED	PRED_CO
0085-002	603-605	3	ἤδη	relation	ADV	AuxY  y
0085-002	603-605	7	πλέα	lemma	πλέως	πλέος y
0085-002	603-605	13	,	relation	AuxX	AuxY  y
0085-002	598-600	11	ὡς	postag	c--------	d--------
0085-002	601-602	2	δ’	head	15	0
0085-002	601-602	15	[0]	relation	PRED	PRED_CO
0085-002	601-602	15	[0]	head	0	2
0085-002	616-622	33	τόν	postag	l-s---ma-	p-s---ma-
0085-002	616-622	36	Δαρεῖον	lemma	Δαρεῖος	δαρεῖος y
0085-002	616-622	41	ἐγὼ	postag	p1s---cn-	p-s---mn-
0085-002	606	5	φρένας	postag	n-p---fa-	n-p---ma-  y
0085-002	607-615	22	ἅπερ	relation	AuxC	AuxP
0085-002	607-615	22	ἅπερ	head	19	25
0085-002	607-615	23	νεκροῖσι	postag	a-p---md-	n-p---md-
0085-002	607-615	24	μειλικτήρια	head	19	22
0085-002	607-615	25	,	relation	AuxX	APOS
0085-002	607-615	25	,	head	0	20
0085-002	607-615	26	βοός	postag	n-s---cg-	n-s---fg-
0085-002	607-615	32	γάλα	relation	APOS_CO	OBJ_AP_CO
0085-002	607-615	37	στάγμα	relation	APOS_CO	OBJ_AP_CO
0085-002	607-615	37	στάγμα	head	49	38
0085-002	607-615	38	,	relation	AuxX	APOS
0085-002	607-615	40	μέλι	relation	APOS	OBJ_AP_CO
0085-002	607-615	40	μέλι	head	37	38
0085-002	607-615	46	μέτα	lemma	μετά	μέτειμι y
0085-002	607-615	46	μέτα	postag	r--------	v3spia--- y
0085-002	607-615	49	τε	head	19	25
0085-002	607-615	53	ποτὸν	relation	APOS_CO	OBJ_AP_CO
0085-002	607-615	53	ποτὸν	head	49	59
0085-002	607-615	56	γάνος	relation	APOS	OBJ_AP_CO
0085-002	607-615	56	γάνος	head	53	59
0085-002	628-630	4	δαίμονες	relation	ExD	ExD_AP
0085-002	628-630	4	δαίμονες	head	16	6
0085-002	628-630	6	,	relation	AuxX	APOS
0085-002	628-630	6	,	head	0	16
0085-002	628-630	7	γῆ	form	γῆ	Γῆ
0085-002	628-630	7	γῆ	relation	APOS_CO	ExD_AP_CO
0085-002	628-630	10	Ἑρμῆ	lemma	Ἑρμῆς	ʽἑρμῆς y
0085-002	628-630	10	Ἑρμῆ	relation	APOS_CO	ExD_AP_CO
0085-002	628-630	12	βασιλεῦ	relation	APOS_CO	ExD_AP_CO
0085-002	628-630	13	τ’	head	4	6
0085-002	623-627	2	γύναι	relation	ExD	ExD_AP
0085-002	623-627	2	γύναι	head	9	3
0085-002	623-627	3	,	relation	AuxX	APOS
0085-002	623-627	3	,	head	0	9
0085-002	623-627	4	πρέσβος	relation	APOS	ExD_AP
0085-002	623-627	4	πρέσβος	head	2	3
0085-002	623-627	6	,	head	2	3
0085-002	623-627	7	σύ	postag	p2s---cn-	p-s----n-
0085-002	623-627	12	ὑπὸ	relation	AuxP	ATR y
0085-002	631-632	7	πλέον	lemma	πολύς	πλείων
0085-002	631-632	9	μόνος	relation	ADV	AtvV
0085-002	631-632	13	εἴποι	lemma	λέγω	εἶπον
0085-002		2	ῥ’	head	3	1
0085-002	639	4	μου	postag	p1s---cg-	p-s---mg-
0085-002	640-644	10	δαίμονα	relation	OBJ	OBJ_AP
0085-002	640-644	10	δαίμονα	head	13	16
0085-002	640-644	12	ἰόντ’	head	10	16
0085-002	647	8	[0]	relation	PRED	PRED_CO
0085-002	647	8	[0]	head	0	4
0085-002	663	1	βάσκε	lemma	βαίνω	βάσκω
0085-002	663	2	πάτερ	lemma	πατήρ	πάτηρ  y
0085-002	657-658	1	βαλήν	relation	MWE	AuxY
0085-002	667	3	τις	postag	p-s---cn-	p-s---fn-
0085-002	671	1	βάσκε	lemma	βαίνω	βάσκω
0085-002	671	2	πάτερ	lemma	πατήρ	πάτηρ  y
0085-002	672	1	αἰαῖ	relation	ExD	AuxY
0085-002	672	1	αἰαῖ	head	4	2
0085-002	677-680	7	ἄναες	relation	APOS	AuxY
0085-002	673-676	4	θανών	lemma	θνῄσκω	θνήσκω
0085-002	673-676	9	δυνάτα	relation	MWE	AuxY
0085-002	673-676	19	;?	lemma	;?	πυνξτ y
0085-002	688-690	2	δ’	head	9	0
0085-002	688-690	6	ἄλλως	lemma	ἄλλος	ἄλλως
0085-002	688-690	6	ἄλλως	relation	ADV	AuxY
0085-002	688-690	8	πάντως	relation	ADV	AuxZ y
0085-002	688-690	9	χοἰ	lemma	καί	ὁ
0085-002	688-690	9	χοἰ	postag	b--------	l-p---mn-
0085-002	688-690	9	χοἰ	head	0	2
0085-002	688-690	11	χθονὸς	head	10	19 y
0085-002	688-690	14	ἀμείνους	lemma	ἀγαθός	ἀμείνων
0085-002	688-690	17	μεθιέναι	head	16	19
0085-002	684-685	6	τάφου	relation	ADV	ATR
0085-002	684-685	7	πέλας	postag	r--------	d-------- y
0085-002	691-692	1	ὅμως	postag	d--------	c--------  y
0085-002	691-692	2	δ’	head	6	0
0085-002	691-692	5	ἐγὼ	postag	p1s---cn-	p-s---mn-
0085-002	691-692	6	ἥκω	relation	PRED	PRED_CO
0085-002	691-692	6	ἥκω	head	0	2
0085-002	692	1	τάχυνε	relation	PRED	PRED_CO
0085-002	692	1	τάχυνε	head	0	2
0085-002	692	2	δ’	head	1	0  last_done
0085-002	686-688	1	ὑμεῖς	postag	p2p---cn-	p-p----n-
0085-002	686-688	2	δὲ	head	7	0
0085-002	686-688	4	ἐγγὺς	postag	r--------	d--------
0085-002	686-688	7	καὶ	head	0	2
0085-002	686-688	13	μ’	postag	p1s---ca-	p-s---ma-
0085-002	681-682	1	ὦ	head	2	5
0085-002	681-682	2	πιστὰ	lemma	πιστός	πιστόν
0085-002	681-682	2	πιστὰ	postag	a-p---nv-	n-p---nv-
0085-002	681-682	2	πιστὰ	relation	ExD	ExD_CO
0085-002	681-682	2	πιστὰ	head	14	5
0085-002	681-682	4	ἥλικές	postag	a-p---mv-	n-p---mv-
0085-002	681-682	5	θ’	relation	AuxY	COORD
0085-002	681-682	5	θ’	head	2	14
0085-002	681-682	8	Πέρσαι	lemma	Πέρσης	πέρσης
0085-002	681-682	8	Πέρσαι	head	2	5
0085-002	681-682	10	,	head	2	5
0085-002	694-696	1	σέβομαι	lemma	σέβω	σέβομαι
0085-002	694-696	3	προσιδέσθαι	lemma	προσοράω	προσεῖδον
0085-002	694-696	5	σέβομαι	lemma	σέβω	σέβομαι
0085-002	694-696	9	σέθεν	postag	p2s---cg-	p-s----g-
0085-002	697-699	4	ἦλθον	head	2	0
0085-002	697-699	17	εἰπὲ	lemma	λέγω	εἶπον
0085-002	700-702	3	χαρίσασθαι	lemma	χαρίζω	χαρίζομαι
0085-002	700-702	3	χαρίσασθαι	postag	v--anm---	v--ane---
0085-002	700-702	8	φάσθαι	postag	v--pne---	v--pn----
0085-002	703-706	5	σοὶ	postag	p2s---cd-	p-s----d-
0085-002	703-706	16	,	relation	AuxX	UNDEFINED
0085-002	703-706	24	μοι	postag	p1s---cd-	p-s---md-
0085-002	706	2	δ’	head	7	0
0085-002	706	3	ἄν	relation	AuxY	AuxZ
0085-002	706	3	ἄν	head	7	6
0085-002	706	7	τύχοι	relation	PRED	PRED_CO
0085-002	706	7	τύχοι	head	0	2
0085-002	714	7	εἰπεῖν	lemma	λέγω	εἶπον
0085-002	713	4	Δαρεῖ’	lemma	Δαρεῖος	δαρεῖος
0085-002	707-708	5	θαλάσσης	head	4	23
0085-002	707-708	20	,	relation	AuxX	UNDEFINED
0085-002	709-712	18	Πέρσαις	lemma	Πέρσης	πέρθω
0085-002	709-712	18	Πέρσαις	postag	n-p---md-	v-sapamn-
0085-002	709-712	19	ὡς	postag	c--------	d--------
0085-002	709-712	20	θεὸς	relation	SBJ	SBJ_ExD_ADV
0085-002	709-712	25	σε	postag	p2s---ca-	p-s----a-
0085-002	709-712	27	θανόντα	lemma	θνῄσκω	θνήσκω
0085-002	709-712	29	πρὶν	postag	c--------	d--------
0085-002	732	2	δ’	head	3	0
0085-002	732	3	ἔρρει	relation	PRED	PRED_CO
0085-002	732	3	ἔρρει	head	0	2
0085-002	732	8	δέ	head	3	2
0085-002	732	9	τις	postag	p-s---cn-	p-s---mn-
0085-002	736	1	ἄσμενον	relation	ADV	AtvV
0085-002	725	4	τις	postag	p-s---cn-	p-s---mn-
0085-002	725	4	τις	relation	ADV	AuxZ
0085-002	725	7	,	relation	AuxX	AuxC
0085-002	725	8	ὥστε	postag	c--------	d--------
0085-002	725	9	μὴ	postag	d--------	c--------
0085-002	724	2	δέ	head	6	0
0085-002	724	3	πού	lemma	που	πού
0085-002	724	4	τις	postag	p-s---cn-	p-s---mn-
0085-002	724	6	ξυνήψατο	relation	PRED	PRED_CO
0085-002	724	6	ξυνήψατο	head	0	2
0085-002	723	1	καὶ	postag	d--------	c--------
0085-002	723	5	ὥστε	postag	c--------	d--------
0085-002	723	6	βόσπορον	form	βόσπορον	Βόσπορον
0085-002	727	1	καὶ	postag	d--------	c--------
0085-002	727	3	δὴ	relation	AuxY	AuxZ
0085-002	737	1	καὶ	postag	d--------	c--------
0085-002	737	1	καὶ	head	10	6
0085-002	737	4	σεσῶσθαι	lemma	σῴζω	σώζω
0085-002	737	6	,	relation	AuxY	COORD
0085-002	737	6	,	head	10	0
0085-002	737	10	[0]	relation	PRED	PRED_CO
0085-002	737	10	[0]	head	0	6
0085-002	738	2	κρατεῖ	head	8	6
0085-002	738	9	ἔνι	lemma	ἔνειμι	ἐν
0085-002	738	9	ἔνι	postag	v3ppia---	r--------
0085-002	738	9	ἔνι	head	8	6
0085-002	715	2	τις	postag	p-s---cn-	p-s---mn-
0085-002	722	6	ὥστ’	postag	c--------	d--------
0085-002	734	2	δὲ	head	5	0
0085-002	734	5	φασιν	relation	PRED	PRED_CO
0085-002	734	5	φασιν	head	0	2
0085-002	734	8	μέτα	lemma	μετά	μέτειμι
0085-002	734	8	μέτα	postag	r--------	v3spia---
0085-002	738	1	ναί	postag	i--------	d--------
0085-002	716	1	οὐδαμῶς	relation	ADV	AuxZ
0085-002	719	1	πεζὸς	relation	ADV_CO	ATV_CO
0085-002	719	3	ναύτης	relation	ADV_CO	ATV_CO
0085-002	719	4	δὲ	head	7	0
0085-002	719	7	ἐμώρανεν	relation	PRED	PRED_CO
0085-002	719	7	ἐμώρανεν	head	0	4
0085-002	730	4	σούσων	form	σούσων	Σούσων
0085-002	721	2	δὲ	head	7	0
0085-002	721	3	καὶ	postag	d--------	c--------
0085-002	721	7	ἤνυσεν	relation	PRED	PRED_CO
0085-002	721	7	ἤνυσεν	head	0	2
0085-002	735	3	δὴ	relation	AuxY	AuxZ
0085-002	718	2	Ξέρξης	lemma	Ξέρξης	Ξήρξης
0085-002	717	1	τίς	postag	p-s---cn-	p-s---mn-
0085-002	717	2	δ’	head	6	0
0085-002	717	5	παίδων	postag	n-p---cg-	n-p---mg-
0085-002	717	6	ἐστρατηλάτει	relation	PRED	PRED_CO
0085-002	717	6	ἐστρατηλάτει	head	0	2
0085-002	724	1	ὧδ’	relation	ADV	OBJ
0085-002	729	1	ὧδε	relation	ADV	AuxZ
0085-002	729	1	ὧδε	head	6	3
0085-002	729	3	δὲ	head	6	0
0085-002	729	6	κατέφθαρται	relation	PRED	PRED_CO
0085-002	729	6	κατέφθαρται	head	0	3
0085-002	742	4	τις	postag	p-s---cn-	p-s---mn-
0085-002	742	7	χὠ	relation	ATR	AuxZ
0085-002	751-752	6	οὑμὸς	lemma	ἐμός	ὑμός
0085-002	751-752	8	γένηται	postag	v3sasm---	v3sas----
