SentID	Subdoc	Speaker
1	1-2	Athena
2	3-7	Athena
3	7-8	Athena
4	9-10	Athena
5	11-13	Athena
6	14-17	Odysseus
7	18-19	Odysseus
8	20-20	Odysseus
9	21-22	Odysseus
10	23-23	Odysseus
11	24-24	Odysseus
12	25-27	Odysseus
13	28-28	Odysseus
14	29-31	Odysseus
15	31-33	Odysseus
16	34-34	Odysseus
17	34-35	Odysseus
18	36-37	Athena
19	38-38	Odysseus
20	39-39	Athena
21	40-40	Odysseus
22	41-41	Athena
23	42-42	Odysseus
24	43-43	Athena
25	44-44	Odysseus
26	45-45	Athena
27	46-46	Odysseus
28	47-47	Athena
29	48-48	Odysseus
30	49-49	Athena
31	50-50	Odysseus
32	51-54	Athena
33	55-56	Athena
34	56-58	Athena
35	59-60	Athena
36	61-65	Athena
37	66-67	Athena
38	68-69	Athena
39	69-70	Athena
40	71-72	Athena
41	73-73	Athena
42	73-73	Athena
43	74-74	Odysseus
44	74-74	Odysseus
45	75-75	Athena
46	76-76	Odysseus
47	77-77	Athena
48	77-77	Athena
49	78-78	Odysseus
50	79-79	Athena
51	80-80	Odysseus
52	81-81	Athena
53	82-82	Odysseus
54	83-83	Athena
55	84-84	Odysseus
56	85-85	Athena
57	86-86	Odysseus
58	87-87	Athena
59	88-88	Odysseus
60	88-88	Odysseus
61	89-89	Athena
62	90-90	Athena
63	91-92	Ajax
64	92-93	Ajax
65	94-94	Athena
66	94-95	Athena
67	96-96	Ajax
68	97-97	Athena
69	98-98	Ajax
70	99-99	Athena
71	100-100	Ajax
72	101-102	Athena
73	102-102	Athena
74	103-103	Ajax
75	104-104	Athena
76	104-104	Athena
77	105-106	Ajax
78	106-106	Ajax
79	107-107	Athena
80	108-108	Ajax
81	109-109	Athena
82	110-110	Ajax
83	111-111	Athena
84	112-112	Ajax
85	113-113	Ajax
86	114-115	Athena
87	116-116	Ajax
88	116-117	Ajax
89	118-118	Athena
90	119-120	Athena
91	121-121	Odysseus
92	121-124	Odysseus
93	125-126	Odysseus
94	127-130	Athena
95	131-132	Athena
96	132-133	Athena
97	134-136	Chorus
98	137-140	Chorus
99	141-147	Chorus
100	148-150	Chorus
101	150-153	Chorus
102	154-155	Chorus
103	155-156	Chorus
104	157-157	Chorus
105	158-159	Chorus
106	160-161	Chorus
107	162-163	Chorus
108	164-166	Chorus
109	167-168	Chorus
110	169-171	Chorus
111	172-178	Chorus
112	179-181	Chorus
113	182-185	Chorus
114	186-186	Chorus
115	186-187	Chorus
116	188-192	Chorus
117	193-195	Chorus
118	196-199	Chorus
119	200-200	Chorus
120	201-204	Tecmessa
121	205-207	Tecmessa
122	208-210	Chorus
123	211-213	Chorus
124	214-214	Tecmessa
125	215-215	Tecmessa
126	216-216	Tecmessa
127	217-218	Tecmessa
128	219-220	Tecmessa
129	221-226	Chorus
130	227-227	Chorus
131	227-230	Chorus
132	231-231	Chorus
133	231-232	Chorus
134	235-236	Tecmessa
135	237-244	Tecmessa
136	245-250	Chorus
137	251-252	Chorus
138	252-255	Chorus
139	256-256	Tecmessa
140	256-258	Tecmessa
141	260-262	Tecmessa
142	263-263	Chorus
143	264-264	Chorus
144	265-267	Tecmessa
145	268-268	Chorus
146	269-269	Tecmessa
147	270-270	Chorus
148	270-270	Chorus
149	271-273	Tecmessa
150	274-276	Tecmessa
151	277-277	Tecmessa
152	278-279	Chorus
153	279-280	Chorus
154	281-281	Tecmessa
155	282-282	Chorus
156	283-283	Chorus
157	284-284	Tecmessa
158	285-287	Tecmessa
159	288-288	Tecmessa
160	288-289	Tecmessa
161	289-291	Tecmessa
162	291-291	Tecmessa
163	292-292	Tecmessa
164	293-293	Tecmessa
165	294-294	Tecmessa
166	295-295	Tecmessa
167	296-297	Tecmessa
168	298-300	Tecmessa
169	301-304	Tecmessa
170	305-308	Tecmessa
171	308-310	Tecmessa
172	311-311	Tecmessa
173	312-314	Tecmessa
174	315-316	Tecmessa
175	317-318	Tecmessa
176	319-320	Tecmessa
177	321-322	Tecmessa
178	323-325	Tecmessa
179	326-326	Tecmessa
180	327-327	Tecmessa
181	328-329	Tecmessa
182	330-330	Tecmessa
183	331-332	Chorus
184	333-333	Ajax
185	334-334	Tecmessa
186	334-335	Tecmessa
187	336-336	Ajax
188	337-338	Chorus
189	339-339	Ajax
190	340-340	Tecmessa
191	340-340	Tecmessa
192	341-341	Tecmessa
193	341-341	Tecmessa
194	341-341	Tecmessa
195	342-342	Ajax
196	342-342	Ajax
197	342-343	Ajax
198	344-344	Chorus
199	344-344	Chorus
200	345-345	Chorus
201	346-346	Tecmessa
202	346-347	Tecmessa
203	348-352	Ajax
204	353-353	Chorus
205	355-355	Chorus
206	356-360	Ajax
207	361-361	Ajax
208	362-362	Chorus
209	362-363	Chorus
210	364-366	Ajax
211	367-367	Ajax
212	368-368	Tecmessa
213	369-369	Ajax
214	369-369	Ajax
215	370-370	Ajax
216	371-371	Chorus
217	372-376	Ajax
218	377-377	Chorus
219	378-378	Chorus
220	379-382	Ajax
221	383-383	Chorus
222	384-384	Ajax
223	385-385	Ajax
224	386-386	Chorus
225	386-386	Chorus
226	387-391	Ajax
227	392-393	Tecmessa
228	393-393	Tecmessa
229	394-398	Ajax
230	398-400	Ajax
231	401-403	Ajax
232	404-404	Ajax
233	405-405	Ajax
234	405-408	Ajax
235	410-411	Tecmessa
236	412-415	Ajax
237	415-416	Ajax
238	416-416	Ajax
239	417-426	Ajax
240	426-427	Ajax
241	428-429	Chorus
242	430-430	Ajax
243	430-431	Ajax
244	432-433	Ajax
245	433-433	Ajax
246	434-436	Ajax
247	437-440	Ajax
248	441-441	Ajax
249	442-444	Ajax
250	445-446	Ajax
251	447-449	Ajax
252	450-453	Ajax
253	454-455	Ajax
254	455-456	Ajax
255	457-457	Ajax
256	457-459	Ajax
257	460-461	Ajax
258	462-463	Ajax
259	463-465	Ajax
260	466-466	Ajax
261	466-468	Ajax
262	469-469	Ajax
263	470-470	Ajax
264	470-472	Ajax
265	473-474	Ajax
266	475-476	Ajax
267	477-478	Ajax
268	479-480	Ajax
269	480-480	Ajax
270	481-482	Chorus
271	483-484	Chorus
272	485-486	Tecmessa
273	487-488	Tecmessa
274	489-489	Tecmessa
275	489-490	Tecmessa
276	490-495	Tecmessa
277	496-499	Tecmessa
278	500-501	Tecmessa
279	501-503	Tecmessa
280	504-504	Tecmessa
281	504-505	Tecmessa
282	506-509	Tecmessa
283	510-513	Tecmessa
284	514-515	Tecmessa
285	515-517	Tecmessa
286	518-518	Tecmessa
287	519-519	Tecmessa
288	519-519	Tecmessa
289	520-520	Tecmessa
290	520-521	Tecmessa
291	522-522	Tecmessa
292	523-524	Tecmessa
293	525-526	Chorus
294	526-526	Chorus
295	527-528	Ajax
296	529-529	Tecmessa
297	530-530	Ajax
298	531-531	Tecmessa
299	532-532	Ajax
300	532-532	Ajax
301	533-533	Tecmessa
302	534-534	Ajax
303	535-535	Tecmessa
304	536-536	Ajax
305	537-537	Tecmessa
306	538-538	Ajax
307	539-539	Tecmessa
308	540-540	Ajax
309	541-541	Tecmessa
310	541-542	Tecmessa
311	543-543	Ajax
312	544-544	Tecmessa
313	545-545	Ajax
314	545-547	Ajax
315	548-549	Ajax
316	550-551	Ajax
317	551-551	Ajax
318	552-553	Ajax
319	554-556	Ajax
320	557-558	Ajax
321	559-560	Ajax
322	560-561	Ajax
323	562-564	Ajax
324	565-573	Ajax
325	574-576	Ajax
326	577-577	Ajax
327	578-580	Ajax
328	580-580	Ajax
329	581-581	Ajax
330	581-582	Ajax
331	583-583	Chorus
332	584-584	Chorus
333	585-585	Tecmessa
334	586-586	Ajax
335	586-586	Ajax
336	587-587	Tecmessa
337	587-588	Tecmessa
338	589-589	Ajax
339	589-590	Ajax
340	591-591	Tecmessa
341	592-592	Ajax
342	593-593	Tecmessa
343	594-594	Ajax
344	595-595	Tecmessa
345	596-596	Ajax
346	597-597	Tecmessa
347	598-595	Ajax
348	596-598	Chorus
349	600-608	Chorus
350	609-611	Chorus
351	612-613	Chorus
352	613-615	Chorus
353	616-621	Chorus
354	622-633	Chorus
355	635-640	Chorus
356	641-645	Chorus
357	646-647	Ajax
358	648-649	Ajax
359	650-652	Ajax
360	652-653	Ajax
361	654-656	Ajax
362	657-659	Ajax
363	660-660	Ajax
364	661-663	Ajax
365	664-665	Ajax
366	666-667	Ajax
367	668-668	Ajax
368	668-668	Ajax
369	669-670	Ajax
370	670-671	Ajax
371	672-673	Ajax
372	674-675	Ajax
373	675-676	Ajax
374	677-677	Ajax
375	678-678	Ajax
376	678-682	Ajax
377	682-683	Ajax
378	684-684	Ajax
379	684-686	Ajax
380	687-689	Ajax
381	690-690	Ajax
382	691-692	Ajax
383	693-693	Chorus
384	694-700	Chorus
385	701-701	Chorus
386	702-706	Chorus
387	707-707	Chorus
388	708-712	Chorus
389	713-717	Chorus
390	718-718	Messenger
391	720-721	Messenger
392	721-722	Messenger
393	723-728	Messenger
394	729-730	Messenger
395	731-732	Messenger
396	733-733	Messenger
397	734-734	Messenger
398	735-736	Chorus
399	737-737	Messenger
400	738-739	Messenger
401	740-740	Chorus
402	741-742	Messenger
403	743-744	Chorus
404	745-746	Messenger
405	747-747	Chorus
406	747-747	Chorus
407	748-748	Messenger
