SentID	Subdoc	Speaker
1	1-2	Κράτος
2	3-6	Κράτος
3	7-8	Κράτος
4	8-11	Κράτος
5	12-13	Ἥφαιστος
6	14-15	Ἥφαιστος
7	16	Ἥφαιστος
8	17	Ἥφαιστος
9	18-23	Ἥφαιστος
10	23-25	Ἥφαιστος
11	26-27	Ἥφαιστος
12	27	Ἥφαιστος
13	28	Ἥφαιστος
14	29-30	Ἥφαιστος
15	31-32	Ἥφαιστος
16	33-34	Ἥφαιστος
17	34	Ἥφαιστος
18	35	Ἥφαιστος
19	36	Κράτος
20	37-38	Κράτος
21	39	Ἥφαιστος
22	40	Κράτος
23	40-41	Κράτος
24	41	Κράτος
25	42	Ἥφαιστος
26	43	Κράτος
27	43-44	Κράτος
28	45	Ἥφαιστος
29	46	Κράτος
30	46-47	Κράτος
31	48	Ἥφαιστος
32	49	Κράτος
33	50	Κράτος
34	51	Ἥφαιστος
35	52-53	Κράτος
36	54	Ἥφαιστος
37	55-56	Κράτος
38	57	Ἥφαιστος
39	58	Κράτος
40	59	Κράτος
41	60	Ἥφαιστος
42	61-62	Κράτος
43	63	Ἥφαιστος
44	64-65	Κράτος
45	66	Ἥφαιστος
46	67-68	Κράτος
47	68	Κράτος
48	69	Ἥφαιστος
49	70	Κράτος
50	71	Κράτος
51	72	Ἥφαιστος
52	73	Κράτος
53	74	Κράτος
54	75	Ἥφαιστος
55	76	Κράτος
56	77	Κράτος
57	78	Ἥφαιστος
58	79-80	Κράτος
59	81	Ἥφαιστος
60	82-83	Κράτος
61	83-84	Κράτος
62	85-86	Κράτος
63	86-87	Κράτος
64	88-91	Προμηθεύς
65	92	Προμηθεύς
66	93-95	Προμηθεύς
67	96-97	Προμηθεύς
68	98-99	Προμηθεύς
69	99-100	Προμηθεύς
70	101	Προμηθεύς
71	101-103	Προμηθεύς
72	103-105	Προμηθεύς
73	106-107	Προμηθεύς
74	107-108	Προμηθεύς
75	109-111	Προμηθεύς
76	112-113	Προμηθεύς
77	114	Προμηθεύς
78	115-116	Προμηθεύς
79	117-118	Προμηθεύς
80	119-123	Προμηθεύς
81	124-125	Προμηθεύς
82	125-126	Προμηθεύς
83	127	Προμηθεύς
84	128	Χορός
85	128-131	Χορός
86	132	Χορός
87	133-131	Χορός
88	135	Χορός
89	136-143b	Προμηθεύς
90	144	Χορός
91	144-149	Χορός
92	150-151	Χορός
93	151-150	Χορός
94	151	Χορός
95	152-157	Προμηθεύς
96	158-159	Προμηθεύς
97	160-161	Χορός
98	162-163	Χορός
99	163-167	Χορός
100	168-172	Προμηθεύς
101	173-179	Προμηθεύς
102	180-182	Χορός
103	183	Χορός
104	184-187	Χορός
105	187-188	Χορός
106	189-190	Προμηθεύς
107	190-192	Προμηθεύς
108	193-195	Προμηθεύς
109	196-198	Χορός
110	199	Χορός
111	200	Προμηθεύς
112	201-208	Προμηθεύς
113	208-210	Προμηθεύς
114	211-215	Προμηθεύς
115	216-217	Προμηθεύς
116	218-220	Προμηθεύς
117	221-223	Προμηθεύς
118	223-225	Προμηθεύς
119	226-227	Προμηθεύς
120	228-229	Προμηθεύς
121	230-233	Προμηθεύς
122	233-235	Προμηθεύς
123	236	Προμηθεύς
124	237	Προμηθεύς
125	237-238	Προμηθεύς
126	239-240	Προμηθεύς
127	241-243	Προμηθεύς
128	244-246	Χορός
129	246-247	Χορός
130	248	Προμηθεύς
131	249	Χορός
132	250	Προμηθεύς
133	251	Χορός
134	252	Προμηθεύς
135	253	Χορός
136	254	Προμηθεύς
137	255	Χορός
138	256	Προμηθεύς
139	257	Χορός
140	258	Προμηθεύς
141	259	Χορός
142	260	Προμηθεύς
143	261	Χορός
144	261	Χορός
145	261-262	Χορός
146	262-263	Χορός
147	263-264	Χορός
148	265-267	Προμηθεύς
149	267	Προμηθεύς
150	268	Προμηθεύς
151	269	Προμηθεύς
152	270-272	Προμηθεύς
153	273-275	Προμηθεύς
154	276-277	Προμηθεύς
155	277-278	Προμηθεύς
156	279-280	Χορός
157	281-285	Χορός
158	286-289	Ὠκεανός
159	290	Ὠκεανός
160	291-294	Ὠκεανός
161	295-296	Ὠκεανός
162	296-297	Ὠκεανός
163	298-299	Ὠκεανός
164	300	Προμηθεύς
165	300	Προμηθεύς
166	300-301	Προμηθεύς
167	301-304	Προμηθεύς
168	304-305	Προμηθεύς
169	306-308	Προμηθεύς
170	309-310	Ὠκεανός
171	311-312	Ὠκεανός
172	312	Ὠκεανός
173	313-316	Ὠκεανός
174	317-318	Ὠκεανός
175	319	Ὠκεανός
176	320-321	Ὠκεανός
177	322-323	Ὠκεανός
178	324-326	Ὠκεανός
179	327-328	Ὠκεανός
180	329	Ὠκεανός
181	330-331	Ὠκεανός
182	332-333	Προμηθεύς
183	334	Προμηθεύς
184	335	Προμηθεύς
185	335	Προμηθεύς
186	336	Προμηθεύς
187	337-338	Ὠκεανός
188	338	Ὠκεανός
189	340	Ὠκεανός
190	341-342	Ὠκεανός
191	343	Προμηθεύς
192	343b	Προμηθεύς
193	343b-344	Προμηθεύς
194	344-345	Προμηθεύς
195	346	Προμηθεύς
196	347-348	Προμηθεύς
197	349-352	Προμηθεύς
198	353-356	Προμηθεύς
199	356-357	Προμηθεύς
200	358-359	Προμηθεύς
201	360-363	Προμηθεύς
202	363-364	Προμηθεύς
203	365-367	Προμηθεύς
204	368-369	Προμηθεύς
205	369-371	Προμηθεύς
206	372-374	Προμηθεύς
207	375-376	Προμηθεύς
208	376	Προμηθεύς
209	377-378	Προμηθεύς
210	379-380	Ὠκεανός
211	381-382	Προμηθεύς
212	383-384	Ὠκεανός
213	384	Ὠκεανός
214	385	Προμηθεύς
215	386-387	Ὠκεανός
216	388	Προμηθεύς
217	389	Ὠκεανός
218	390	Προμηθεύς
219	391	Ὠκεανός
220	392	Προμηθεύς
221	393	Ὠκεανός
222	394	Προμηθεύς
223	395	Ὠκεανός
224	396-397	Ὠκεανός
225	397-398	Ὠκεανός
226	399	Χορός
227	400-402	Χορός
228	403-406	Χορός
229	407-414	Χορός
230	415-419	Χορός
231	420-424	Χορός
232	425-430	Χορός
233	431-435	Χορός
234	436-437	Προμηθεύς
235	437-438	Προμηθεύς
236	439-440	Προμηθεύς
237	441	Προμηθεύς
238	441-442	Προμηθεύς
239	442-444	Προμηθεύς
240	445-446	Προμηθεύς
241	447-451	Προμηθεύς
242	452-453	Προμηθεύς
243	454-458	Προμηθεύς
244	459-461	Προμηθεύς
245	462-466	Προμηθεύς
246	467-468	Προμηθεύς
247	469-471	Προμηθεύς
248	472	Χορός
249	472-475	Χορός
250	476-477	Προμηθεύς
251	478-483	Προμηθεύς
252	484-487	Προμηθεύς
253	488-492	Προμηθεύς
254	493-495	Προμηθεύς
255	496-499	Προμηθεύς
256	500	Προμηθεύς
257	500-503	Προμηθεύς
258	504	Προμηθεύς
259	505-506	Προμηθεύς
260	507-508	Χορός
261	508-510	Χορός
262	511-513	Προμηθεύς
263	514	Προμηθεύς
264	515	Χορός
265	516	Προμηθεύς
266	517	Χορός
267	518	Προμηθεύς
268	519	Χορός
269	520	Προμηθεύς
270	521	Χορός
271	522-524	Προμηθεύς
272	524-525	Προμηθεύς
273	526-535	Χορός
274	536	Χορός
275	537-539	Χορός
276	539-540-541	Χορός
277	542-543	Χορός
278	545	Χορός
279	546	Χορός
280	547	Χορός
281	547-550	Χορός
282	550-551	Χορός
283	552-553	Χορός
284	554-560	Χορός
285	561	Ἰώ
286	561	Ἰώ
287	561-563	Ἰώ
288	564	Ἰώ
289	565	Ἰώ
290	566-568	Ἰώ
291	568-569	Ἰώ
292	570	Ἰώ
293	571-573	Ἰώ
294	574-575	Ἰώ
295	576-577	Ἰώ
296	578-580	Ἰώ
297	580-582	Ἰώ
298	583-586	Ἰώ
299	585-587	Ἰώ
300	588	Ἰώ
301	589-590	Προμηθεύς
302	590-592	Προμηθεύς
303	593	Ἰώ
304	594	Ἰώ
305	595-596	Ἰώ
306	597-599	Ἰώ
307	600-601	Ἰώ
308	601-602-603	Ἰώ
309	604-607	Ἰώ
