SentID	Subdoc	Speaker
1	1-3	Oedipus
2	4-5	Oedipus
3	6-8	Oedipus
4	9-11	Oedipus
5	11-12	Oedipus
6	12-13	Oedipus
7	14-16	Priest
8	16-19	Priest
9	19-21	Priest
10	22-27	Priest
11	27-30	Priest
12	31-34	Priest
13	35-39	Priest
14	40-43	Priest
15	44-45	Priest
16	46-47	Priest
17	47-48	Priest
18	49-50	Priest
19	51-51	Priest
20	52-53	Priest
21	54-55	Priest
22	56-57	Priest
23	58-59	Oedipus
24	59-61	Oedipus
25	62-64	Oedipus
26	65-67	Oedipus
27	68-69	Oedipus
28	69-72	Oedipus
29	73-74	Oedipus
30	74-75	Oedipus
31	76-77	Oedipus
32	78-79	Priest
33	80-81	Oedipus
34	82	Priest
35	82-83	Priest
36	84-84	Oedipus
37	84-84	Oedipus
38	85-86	Oedipus
39	87-87	Creon
40	87-88	Creon
41	89-89	Oedipus
42	90-90	Oedipus
43	91-92	Creon
44	93-93	Oedipus
45	93-94	Oedipus
46	95-95	Creon
47	96-98	Creon
48	99-99	Oedipus
49	99-99	Oedipus
50	100-101	Creon
51	102-102	Oedipus
52	103-104	Creon
53	105-105	Oedipus
54	105-105	Oedipus
55	106-107	Creon
56	108-108	Oedipus
57	108-109	Oedipus
58	110-110	Creon
59	110-111	Creon
60	112-113	Oedipus
61	114-115	Creon
62	116-117	Oedipus
63	118-119	Creon
64	120-120	Oedipus
65	120-121	Oedipus
66	122-123	Creon
67	124-125	Oedipus
68	126-126	Creon
69	126-127	Creon
70	128-129	Oedipus
71	130-131	Creon
72	132-132	Oedipus
73	133-134	Oedipus
74	135-136	Oedipus
75	137-138	Oedipus
76	139-140	Oedipus
77	141-141	Oedipus
78	142-145	Oedipus
79	145-146	Oedipus
80	147-147	Priest
81	147-148	Priest
82	149-150	Priest
83	151-153	Chorus
84	153-156	Chorus
85	157-157	Chorus
86	160-166	Chorus
87	167-170	Chorus
88	170-171	Chorus
89	171-173	Chorus
90	175-177	Chorus
91	178-178	Chorus
92	180-180	Chorus
93	181-183	Chorus
94	185-187	Chorus
95	190-196	Chorus
96	197-198	Chorus
97	199-201	Chorus
98	202-206	Chorus
99	207-215	Chorus
100	216-216	Oedipus
101	216-218	Oedipus
102	219-220	Oedipus
103	220-223	Oedipus
104	224-226	Oedipus
105	227-228	Oedipus
106	228-229	Oedipus
107	229-229	Oedipus
108	230-231	Oedipus
109	231-232	Oedipus
110	233-235	Oedipus
111	236-240	Oedipus
112	241-243	Oedipus
113	244-245	Oedipus
114	246-248	Oedipus
115	249-251	Oedipus
116	252-254	Oedipus
117	255-258	Oedipus
118	258-262	Oedipus
119	263-263	Oedipus
120	264-268	Oedipus
121	269-272	Oedipus
122	273-275	Oedipus
123	276-276	Chorus
124	277-278	Chorus
125	278-279	Chorus
126	280-280	Oedipus
127	280-281	Oedipus
128	282-282	Chorus
129	283-283	Oedipus
130	284-286	Chorus
131	287-287	Oedipus
132	288-289	Oedipus
133	289-289	Oedipus
134	290-290	Chorus
135	291-291	Oedipus
136	291-291	Oedipus
137	292-292	Chorus
138	293-293	Oedipus
139	293-293	Oedipus
140	294-296	Chorus
141	297-297	Chorus
142	297-299	Chorus
143	300-303	Oedipus
144	303-304	Oedipus
145	305-309	Oedipus
146	310-313	Oedipus
147	314-314	Oedipus
148	314-315	Oedipus
149	316-317	Tiresias
150	317-318	Tiresias
151	318-318	Tiresias
152	319-319	Oedipus
153	319-319	Oedipus
154	320-320	Tiresias
155	320-321	Tiresias
156	322-323	Oedipus
157	324-325	Tiresias
158	325-327	Tiresias
159	328-328	Tiresias
160	328-329	Tiresias
161	330-330	Oedipus
162	330-331	Oedipus
163	332-332	Tiresias
164	332-333	Tiresias
165	333-333	Tiresias
166	334-336	Oedipus
167	337-338	Tiresias
168	339-340	Oedipus
169	341-341	Tiresias
170	342-342	Oedipus
171	343-343	Tiresias
172	343-344	Tiresias
173	345-346	Oedipus
174	346-348	Oedipus
175	348-349	Oedipus
176	350-350	Tiresias
177	350-353	Tiresias
178	354-355	Oedipus
179	355-355	Oedipus
180	356-356	Tiresias
181	356-356	Tiresias
182	357-357	Oedipus
183	357-357	Oedipus
184	358-358	Tiresias
185	358-358	Tiresias
186	359-359	Oedipus
187	359-359	Oedipus
188	360-360	Tiresias
189	360-360	Tiresias
190	361-361	Oedipus
191	361-361	Oedipus
192	362-362	Tiresias
193	363-363	Oedipus
194	364-364	Tiresias
195	365-365	Oedipus
196	365-365	Oedipus
197	366-367	Tiresias
198	368-368	Oedipus
199	369-369	Tiresias
200	370-370	Oedipus
201	370-371	Oedipus
202	372-373	Tiresias
203	374-375	Oedipus
