~~4	3
6	8
14	7,11
15	9,12
32	11
74	29
82	42,44
83	5
86	11
100	1
103	1
105	1
110	4
115	7,12
123	12
124	8
125	16,18
127	7
128	11
129	5
135	13
163	4
174	1,5
189	15
197	4
203	12
204	3
206	1
207	9
211	4
219	12
220	6,14
223	1
238	2,4,15
243	4
252	8
254	2
257	3
274	20~~
278	5
291	4
305	3
313	4
316	4
323	2
346	11
349	26
353	7
354	11
357	14
358	3
362	9,15
366	14
368	4
372	5
402	2
411	10
422	1
424	8
429	6
430	20
431	12
436	4
456	14,17
461	7,8
479	12
493	2
509	15,16
514	1
523	12,12
524	6
528	9
558	2
606	7
608	9
621	13
626	11
633	1
637	11
667	5
668	3
683	16
