SentID	Subdoc	Speaker
231	436	Ἀθηνᾶ
232	437-438	Ἀθηνᾶ
233	439-441	Ἀθηνᾶ
234	442	Ἀθηνᾶ
235	443-444	Ὀρέστης
236	445-446	Ὀρέστης
237	447	Ὀρέστης
238	448-450	Ὀρέστης
239	451-452	Ὀρέστης
240	453	Ὀρέστης
241	454	Ὀρέστης
242	455-458	Ὀρέστης
243	458-459	Ὀρέστης
244	459-461	Ὀρέστης
245	462-464	Ὀρέστης
246	465-467	Ὀρέστης
247	468	Ὀρέστης
248	469	Ὀρέστης
249	470-471	Ἀθηνᾶ
250	471-472	UNKNOWN
251	473-474	Ἀθηνᾶ
252	475	Ἀθηνᾶ
253	476-479	Ἀθηνᾶ
254	480	Ἀθηνᾶ
255	480-481	Ἀθηνᾶ
256	482-484	Ἀθηνᾶ
257	485-486	Ἀθηνᾶ
258	487-489	Ἀθηνᾶ
259	490-493	Χορός
260	494-495	Χορός
261	496-498	Χορός
262	499-502	Χορός
263	503-505	Χορός
264	506-507	Χορός
265	508-512	Χορός
266	513-516	Χορός
267	517-519	Χορός
268	520-521	Χορός
269	522-525	Χορός
270	526-528	Χορός
271	529-531	Χορός
272	532-534	Χορός
273	535-537	Χορός
274	538-539	Χορός
275	540-542	Χορός
276	543	Χορός
277	544	Χορός
278	545-549	Χορός
279	550-551	Χορός
280	552	Χορός
281	553-557	Χορός
282	558-559	Χορός
283	560-562	Χορός
284	563-565	Χορός
285	566-569	Ἀθηνᾶ
286	570-573	Ἀθηνᾶ
287	574	Χορός
288	575	Χορός
289	576-579	Ἀπόλλων
290	579-580	Ἀπόλλων
291	580-581	Ἀπόλλων
292	582	Ἀθηνᾶ
293	583-584	Ἀθηνᾶ
294	585	Χορος
295	586	Χορος
296	587	Χορος
297	588	Ὀρέστης
298	588	Ὀρέστης
299	589	Χορός
300	590	Ὀρέστης
301	591	Χορός
302	592	Ὀρέστης
303	592	Ὀρέστης
304	593	Χορός
305	594	Ὀρέστης
306	594	Ὀρέστης
307	595	Χορός
308	596	Ὀρέστης
309	597	Χορός
310	598	Ὀρέστης
311	598	Ὀρέστης
312	599	Χορός
313	600	Ὀρέστης
314	601	Χορός
315	601	Χορός
316	602	Ὀρέστης
317	603	Χορός
318	604	Ὀρέστης
319	605	Χορός
320	606	Ὀρέστης
321	607-608	Χορός
322	608	Χορός
323	609	Ὀρέστης
324	609-610	Ὀρέστης
325	611	Ὀρέστης
326	612-613	Ὀρέστης
327	614-615	Ἀπόλλων
328	616-618	Ἀπόλλων
329	619-620	Ἀπόλλων
330	621	Ἀπόλλων
331	622-624	Χορός
332	625-630	Ἀπόλλων
333	631-635	Ἀπόλλων
334	636-637	Ἀπόλλων
335	638-639	Ἀπόλλων
336	640	Χορός
337	641	Χορός
338	642	Χορός
339	643	Χορός
340	644-646	Ἀπόλλων
341	647-648	Ἀπόλλων
342	649-651	Ἀπόλλων
343	652	Χορός
344	653-654	Χορός
